Lake,namedLocation,Date,Depth,Temp,spCond,DO,DOsat
BARC,BARC.AOS.buoy.c0,2015-06-24T04:00:00Z,3.5,31.2,58.5,5.5,74
BARC,BARC.AOS.buoy.c0,2015-06-24T04:00:00Z,4.5,31.2,58.3,4.9,65
BARC,BARC.AOS.buoy.c0,2015-06-24T04:00:00Z,1,31.3,57.7,5.3,72
BARC,BARC.AOS.buoy.c0,2015-06-24T04:00:00Z,4,31.2,58.2,4.7,62
BARC,BARC.AOS.buoy.c0,2015-06-24T04:00:00Z,0.5,31.2,57.8,5.4,72
BARC,BARC.AOS.buoy.c0,2015-06-24T04:00:00Z,1.5,31.3,58,5.3,73
BARC,BARC.AOS.buoy.c0,2015-06-24T04:00:00Z,2.5,31.3,58.2,5.4,73
BARC,BARC.AOS.buoy.c0,2015-06-24T04:00:00Z,2,31.3,58.1,5.6,76
BARC,BARC.AOS.buoy.c0,2015-06-24T04:00:00Z,3,31.3,58.3,5.5,74
BARC,BARC.AOS.buoy.c0,2015-07-01T04:00:00Z,3.5,30.4,57.5,5.7,75
BARC,BARC.AOS.buoy.c0,2015-07-01T04:00:00Z,1,30.5,57.3,5.7,77
BARC,BARC.AOS.buoy.c0,2015-07-01T04:00:00Z,0.5,30.5,55.2,5.7,74
BARC,BARC.AOS.buoy.c0,2015-07-01T04:00:00Z,4,30.4,57.5,5.9,79
BARC,BARC.AOS.buoy.c0,2015-07-01T04:00:00Z,4.5,30.4,57.6,5.7,76
BARC,BARC.AOS.buoy.c0,2015-07-01T04:00:00Z,1.5,30.5,57.4,5.8,77
BARC,BARC.AOS.buoy.c0,2015-07-01T04:00:00Z,2,30.5,57.4,5.8,77
BARC,BARC.AOS.buoy.c0,2015-07-01T04:00:00Z,3,30.5,57.4,6,79
BARC,BARC.AOS.buoy.c0,2015-07-01T04:00:00Z,2.5,30.5,57.4,5.5,73
BARC,BARC.AOS.buoy.c0,2015-07-15T04:00:00Z,0.5,31.3,55.7,6.1,82
BARC,BARC.AOS.buoy.c0,2015-07-15T04:00:00Z,4,31.3,56.4,6.2,84
BARC,BARC.AOS.buoy.c0,2015-07-15T04:00:00Z,4.5,31.3,56.4,6.4,87
BARC,BARC.AOS.buoy.c0,2015-07-15T04:00:00Z,3.5,31.3,56.4,6.1,82
BARC,BARC.AOS.buoy.c0,2015-07-15T04:00:00Z,1,31.3,55.7,6.3,85
BARC,BARC.AOS.buoy.c0,2015-07-15T04:00:00Z,2,31.3,55.9,6.2,84
BARC,BARC.AOS.buoy.c0,2015-07-15T04:00:00Z,3,31.3,56.3,6.1,84
BARC,BARC.AOS.buoy.c0,2015-07-15T04:00:00Z,2.5,31.3,56,6.2,84
BARC,BARC.AOS.buoy.c0,2015-07-15T04:00:00Z,1.5,31.3,55.8,6.4,86
BARC,BARC.AOS.buoy.c0,2015-07-23T04:00:00Z,0.5,31.4,56.6,6.1,83
BARC,BARC.AOS.buoy.c0,2015-07-23T04:00:00Z,2,31.2,56.7,6,82
BARC,BARC.AOS.buoy.c0,2015-07-23T04:00:00Z,3.5,31.1,56.9,6.1,82
BARC,BARC.AOS.buoy.c0,2015-07-23T04:00:00Z,3,31.2,56.9,6.1,82
BARC,BARC.AOS.buoy.c0,2015-07-23T04:00:00Z,1,31.3,56.6,5.9,80
BARC,BARC.AOS.buoy.c0,2015-07-23T04:00:00Z,1.5,31.3,56.6,6.3,85
BARC,BARC.AOS.buoy.c0,2015-07-23T04:00:00Z,2.5,31.2,56.8,6.3,85
BARC,BARC.AOS.buoy.c0,2015-07-23T04:00:00Z,4.5,31.1,57,6.4,86
BARC,BARC.AOS.buoy.c0,2015-07-23T04:00:00Z,4,31.1,57,6.4,86
BARC,BARC.AOS.buoy.c0,2015-08-27T04:00:00Z,1,31.5,52.5,6,82
BARC,BARC.AOS.buoy.c0,2015-08-27T04:00:00Z,0.5,31.5,52,6,81.3
BARC,BARC.AOS.buoy.c0,2015-08-27T04:00:00Z,4.5,31.3,52.5,5.4,74.2
BARC,BARC.AOS.buoy.c0,2015-08-27T04:00:00Z,2.5,31.5,52.6,5.6,76.2
BARC,BARC.AOS.buoy.c0,2015-08-27T04:00:00Z,3,31.5,52.6,5.7,77.1
BARC,BARC.AOS.buoy.c0,2015-08-27T04:00:00Z,1.5,31.5,52.5,5.8,78
BARC,BARC.AOS.buoy.c0,2015-08-27T04:00:00Z,2,31.5,52.4,5.8,79.6
BARC,BARC.AOS.buoy.c0,2015-08-27T04:00:00Z,3.5,31.4,52.7,5.7,76.8
BARC,BARC.AOS.buoy.c0,2015-08-27T04:00:00Z,4,31.4,52.7,5.5,74.6
BARC,BARC.AOS.buoy.c0,2015-10-14T04:00:00Z,5,26.5,52.7,5.3,67
BARC,BARC.AOS.buoy.c0,2015-10-14T04:00:00Z,2.5,26.5,52.4,5.8,72
BARC,BARC.AOS.buoy.c0,2015-10-14T04:00:00Z,4,26.5,52.6,5.8,72
BARC,BARC.AOS.buoy.c0,2015-10-14T04:00:00Z,0.5,26.5,52,7.9,98.5
BARC,BARC.AOS.buoy.c0,2015-10-14T04:00:00Z,3.5,26.5,52.5,5.9,73
BARC,BARC.AOS.buoy.c0,2015-10-14T04:00:00Z,1.5,26.5,52.3,6,74
