Lake,namedLocation,Date,Depth,Temp,spCond,DO,DOsat
BARC,BARC.AOS.buoy.c0,2015-10-14T04:00:00Z,3,26.5,52.4,5.5,69
BARC,BARC.AOS.buoy.c0,2015-10-14T04:00:00Z,2,26.5,52.3,5.9,73.5
BARC,BARC.AOS.buoy.c0,2015-10-14T04:00:00Z,1,26.5,52.1,6.3,79
BARC,BARC.AOS.buoy.c0,2015-10-14T04:00:00Z,4.5,26.5,52.6,5.5,69
BARC,BARC.AOS.buoy.c0,2015-11-05T05:00:00Z,2.5,26.3,46.1,6.3,77.3
BARC,BARC.AOS.buoy.c0,2015-11-05T05:00:00Z,1,26.9,47.8,7.3,89.9
BARC,BARC.AOS.buoy.c0,2015-11-05T05:00:00Z,3,26.2,47.4,6.7,82.8
BARC,BARC.AOS.buoy.c0,2015-11-05T05:00:00Z,4.5,25.7,47.7,7.1,87
BARC,BARC.AOS.buoy.c0,2015-11-05T05:00:00Z,1.5,26.9,47.6,7.2,89.5
BARC,BARC.AOS.buoy.c0,2015-11-05T05:00:00Z,5,25.6,46.1,1.6,19.2
BARC,BARC.AOS.buoy.c0,2015-11-05T05:00:00Z,2,26.8,47.7,7.3,90.5
BARC,BARC.AOS.buoy.c0,2015-11-05T05:00:00Z,4,25.8,47.9,7.7,93.9
BARC,BARC.AOS.buoy.c0,2015-11-05T05:00:00Z,0.5,27,46.5,7.4,92.4
BARC,BARC.AOS.buoy.c0,2015-11-05T05:00:00Z,3.5,25.9,47.4,7.4,90
BARC,BARC.AOS.buoy.c0,2015-11-20T05:00:00Z,3,23.5,45.9,6.5,76.6
BARC,BARC.AOS.buoy.c0,2015-11-20T05:00:00Z,4.5,23.4,46.3,5.3,62.3
BARC,BARC.AOS.buoy.c0,2015-11-20T05:00:00Z,4,23.5,46.1,6,70
BARC,BARC.AOS.buoy.c0,2015-11-20T05:00:00Z,5,23.4,46.3,5.1,59.8
BARC,BARC.AOS.buoy.c0,2015-11-20T05:00:00Z,3.5,23.5,45.9,6.7,78.9
BARC,BARC.AOS.buoy.c0,2015-11-20T05:00:00Z,2.5,23.5,45.9,6.7,78.8
BARC,BARC.AOS.buoy.c0,2015-11-20T05:00:00Z,0.5,23.6,45.8,7,83
BARC,BARC.AOS.buoy.c0,2015-11-20T05:00:00Z,2,23.6,45.9,6.8,79.3
BARC,BARC.AOS.buoy.c0,2015-11-20T05:00:00Z,1.5,23.6,46,6.7,79
BARC,BARC.AOS.buoy.c0,2015-11-20T05:00:00Z,1,23.6,45.6,6.9,81
BARC,BARC.AOS.buoy.c0,2015-12-28T05:00:00Z,2,21,46.7,8.1,90.4
BARC,BARC.AOS.buoy.c0,2015-12-28T05:00:00Z,1.5,22.4,46.2,7.8,90.8
BARC,BARC.AOS.buoy.c0,2015-12-28T05:00:00Z,1,23.4,46.1,8.3,97.3
BARC,BARC.AOS.buoy.c0,2015-12-28T05:00:00Z,5,19.6,47.3,7.6,82.3
BARC,BARC.AOS.buoy.c0,2015-12-28T05:00:00Z,4,19.8,47,9.6,104.7
BARC,BARC.AOS.buoy.c0,2015-12-28T05:00:00Z,4.5,19.7,47,9.4,102.7
BARC,BARC.AOS.buoy.c0,2015-12-28T05:00:00Z,3,20.1,46.5,8.6,95
BARC,BARC.AOS.buoy.c0,2015-12-28T05:00:00Z,0.5,23.6,46.5,8,94.1
BARC,BARC.AOS.buoy.c0,2015-12-28T05:00:00Z,2.5,20.6,46.6,7.8,86.7
BARC,BARC.AOS.buoy.c0,2015-12-28T05:00:00Z,3.5,19.9,46.9,9.5,104.8
BARC,BARC.AOS.buoy.c0,2016-02-19T05:00:00Z,5,15.7,45.5,9.1,89.8
BARC,BARC.AOS.buoy.c0,2016-02-19T05:00:00Z,1,15.8,43,9.8,96.3
BARC,BARC.AOS.buoy.c0,2016-02-19T05:00:00Z,2,15.8,43.5,9.9,98
BARC,BARC.AOS.buoy.c0,2016-02-19T05:00:00Z,1.5,15.8,43.2,9.6,95.4
BARC,BARC.AOS.buoy.c0,2016-02-19T05:00:00Z,3,15.8,44.3,9.4,93
BARC,BARC.AOS.buoy.c0,2016-02-19T05:00:00Z,0.5,15.8,42.8,9.3,96
BARC,BARC.AOS.buoy.c0,2016-02-19T05:00:00Z,2.5,15.7,44,9.8,97
BARC,BARC.AOS.buoy.c0,2016-02-19T05:00:00Z,3.5,15.7,44.6,9.8,97.7
BARC,BARC.AOS.buoy.c0,2016-02-19T05:00:00Z,4.5,15.8,45.2,9.2,91.4
BARC,BARC.AOS.buoy.c0,2016-02-19T05:00:00Z,4,15.8,45,9.8,97.1
BARC,BARC.AOS.buoy.c0,2016-02-29T05:00:00Z,2.5,17.1,47.3,8.9,91.2
BARC,BARC.AOS.buoy.c0,2016-02-29T05:00:00Z,3.5,17.1,47.5,8.4,86.9
BARC,BARC.AOS.buoy.c0,2016-02-29T05:00:00Z,1,17.2,47.1,9.1,93.3
BARC,BARC.AOS.buoy.c0,2016-02-29T05:00:00Z,5,17,47.8,8.1,83.6
BARC,BARC.AOS.buoy.c0,2016-02-29T05:00:00Z,3,17.1,47.4,8.7,89.5
BARC,BARC.AOS.buoy.c0,2016-02-29T05:00:00Z,4.5,17,47.7,8.3,85.6
BARC,BARC.AOS.buoy.c0,2016-02-29T05:00:00Z,1.5,17.2,47.1,8.8,90.2
BARC,BARC.AOS.buoy.c0,2016-02-29T05:00:00Z,4,17,47.6,8.6,88.8
BARC,BARC.AOS.buoy.c0,2016-02-29T05:00:00Z,0.5,17.2,46.9,9.6,98.5
BARC,BARC.AOS.buoy.c0,2016-02-29T05:00:00Z,2,17.1,47.3,8.9,91.2
BARC,BARC.AOS.buoy.c0,2016-04-07T04:00:00Z,5,23.5,49.5,6.6,78.5
BARC,BARC.AOS.buoy.c0,2016-04-07T04:00:00Z,2,23.5,50.3,7.3,86.4
BARC,BARC.AOS.buoy.c0,2016-04-07T04:00:00Z,3.5,23.5,49.8,7,82.9
BARC,BARC.AOS.buoy.c0,2016-04-07T04:00:00Z,4.5,23.5,49.7,6.7,79
BARC,BARC.AOS.buoy.c0,2016-04-07T04:00:00Z,1,23.6,50.3,7.4,86.7
BARC,BARC.AOS.buoy.c0,2016-04-07T04:00:00Z,2.5,23.5,49.9,7.3,86
BARC,BARC.AOS.buoy.c0,2016-04-07T04:00:00Z,3,23.5,49.9,7.1,84
BARC,BARC.AOS.buoy.c0,2016-04-07T04:00:00Z,4,23.5,49.8,7,82.5
BARC,BARC.AOS.buoy.c0,2016-04-07T04:00:00Z,1.5,23.6,50.1,7.2,84.3
BARC,BARC.AOS.buoy.c0,2016-04-07T04:00:00Z,0.5,23.5,50.9,7.1,84
BARC,BARC.AOS.buoy.c0,2016-05-03T04:00:00Z,2,27.8,43.7,7,88.7
BARC,BARC.AOS.buoy.c0,2016-05-03T04:00:00Z,5,27,44.5,4.3,53.5
BARC,BARC.AOS.buoy.c0,2016-05-03T04:00:00Z,3,27.7,43.9,6.9,88.5
BARC,BARC.AOS.buoy.c0,2016-05-03T04:00:00Z,0.5,27.7,39.7,6.8,86.2
BARC,BARC.AOS.buoy.c0,2016-05-03T04:00:00Z,4,27.8,44,6.6,84.2
BARC,BARC.AOS.buoy.c0,2016-05-03T04:00:00Z,4.5,27.7,44.2,6.1,77.7
BARC,BARC.AOS.buoy.c0,2016-05-03T04:00:00Z,2.5,27.8,44,7.1,89.9
BARC,BARC.AOS.buoy.c0,2016-05-03T04:00:00Z,3.5,27.8,43.8,6.9,87.6
BARC,BARC.AOS.buoy.c0,2016-05-03T04:00:00Z,1.5,27.8,43.1,6.8,86.2
BARC,BARC.AOS.buoy.c0,2016-05-03T04:00:00Z,1,27.7,42.8,7.1,90.1
BARC,BARC.AOS.buoy.c0,2016-06-14T04:00:00Z,1.5,31.2,41.8,5.3,71.5
BARC,BARC.AOS.buoy.c0,2016-06-14T04:00:00Z,3,31.2,42.7,5.7,76.5
BARC,BARC.AOS.buoy.c0,2016-06-14T04:00:00Z,0.5,31.3,41.5,5.3,72.2
BARC,BARC.AOS.buoy.c0,2016-06-14T04:00:00Z,1,31.3,41.7,5.2,70.2
BARC,BARC.AOS.buoy.c0,2016-06-14T04:00:00Z,2.5,31.2,41.8,5.4,74.6
BARC,BARC.AOS.buoy.c0,2016-06-14T04:00:00Z,4,31.1,41.8,5.2,70.1
BARC,BARC.AOS.buoy.c0,2016-06-14T04:00:00Z,2,31.2,41.8,5.5,74.6
BARC,BARC.AOS.buoy.c0,2016-06-14T04:00:00Z,5,31.1,41.7,5,67.5
BARC,BARC.AOS.buoy.c0,2016-06-14T04:00:00Z,4.5,31.1,41.8,5.2,69.6
BARC,BARC.AOS.buoy.c0,2016-06-14T04:00:00Z,3.5,31.1,41.8,5.5,74.6
BARC,BARC.AOS.buoy.c0,2016-07-06T04:00:00Z,3,32.2,43.4,5.5,74.3
BARC,BARC.AOS.buoy.c0,2016-07-06T04:00:00Z,0.5,32.2,43.6,6.5,88.4
BARC,BARC.AOS.buoy.c0,2016-07-06T04:00:00Z,1,32.2,44.2,6.4,87.5
BARC,BARC.AOS.buoy.c0,2016-07-06T04:00:00Z,4.5,32.2,43.3,6.1,82.4
BARC,BARC.AOS.buoy.c0,2016-07-06T04:00:00Z,2,32.2,43.6,5.8,78.9
BARC,BARC.AOS.buoy.c0,2016-07-06T04:00:00Z,4,32.2,43.4,5.6,75.6
BARC,BARC.AOS.buoy.c0,2016-07-06T04:00:00Z,5,32.2,43.2,6,82
BARC,BARC.AOS.buoy.c0,2016-07-06T04:00:00Z,1.5,32.2,43.8,6,81.1
BARC,BARC.AOS.buoy.c0,2016-07-06T04:00:00Z,2.5,32.2,43.5,5.8,78.7
BARC,BARC.AOS.buoy.c0,2016-07-06T04:00:00Z,3.5,32.2,43.3,5.7,78.3
BARC,BARC.AOS.buoy.c0,2016-08-10T04:00:00Z,2.5,29.8,45.2,5.1,66.7
BARC,BARC.AOS.buoy.c0,2016-08-10T04:00:00Z,5,29.8,44.3,5.2,68.2
BARC,BARC.AOS.buoy.c0,2016-08-10T04:00:00Z,3.5,29.8,43.8,5.5,71.5
BARC,BARC.AOS.buoy.c0,2016-08-10T04:00:00Z,0.5,29.6,46.2,5.3,68.5
BARC,BARC.AOS.buoy.c0,2016-08-10T04:00:00Z,1.5,29.8,45.4,5.1,68.1
BARC,BARC.AOS.buoy.c0,2016-08-10T04:00:00Z,2,29.8,45.3,5.3,69.1
BARC,BARC.AOS.buoy.c0,2016-08-10T04:00:00Z,4,29.8,43.9,5.1,66.6
BARC,BARC.AOS.buoy.c0,2016-08-10T04:00:00Z,1,29.8,45.5,5.4,70.8
BARC,BARC.AOS.buoy.c0,2016-08-10T04:00:00Z,4.5,29.8,43.9,5,65.1
BARC,BARC.AOS.buoy.c0,2016-08-10T04:00:00Z,3,29.8,45,5.4,71.1
BARC,BARC.AOS.buoy.c0,2016-09-07T04:00:00Z,2.5,28.9,43,6.4,82.2
BARC,BARC.AOS.buoy.c0,2016-09-07T04:00:00Z,3.5,28.8,43,6.3,80.7
BARC,BARC.AOS.buoy.c0,2016-09-07T04:00:00Z,1.5,28.9,43.1,6.4,82
BARC,BARC.AOS.buoy.c0,2016-09-07T04:00:00Z,1,29,43.2,6.4,82.9
BARC,BARC.AOS.buoy.c0,2016-09-07T04:00:00Z,4,28.8,43,6.3,81.2
BARC,BARC.AOS.buoy.c0,2016-09-07T04:00:00Z,0.5,29,43,6.5,84.2
BARC,BARC.AOS.buoy.c0,2016-09-07T04:00:00Z,4.5,28.8,42.9,6.2,80.1
BARC,BARC.AOS.buoy.c0,2016-09-07T04:00:00Z,3,28.8,42.9,6.3,81.1
BARC,BARC.AOS.buoy.c0,2016-09-07T04:00:00Z,5,28.8,42.8,6,77.7
BARC,BARC.AOS.buoy.c0,2016-09-07T04:00:00Z,2,28.9,43,6.4,82.1
BARC,BARC.AOS.buoy.c0,2016-10-12T04:00:00Z,1.5,25.2,40.7,6.9,82.8
BARC,BARC.AOS.buoy.c0,2016-10-12T04:00:00Z,4.5,25.1,40.8,6.8,81.4
BARC,BARC.AOS.buoy.c0,2016-10-12T04:00:00Z,4,25.1,40.7,6.8,82
BARC,BARC.AOS.buoy.c0,2016-10-12T04:00:00Z,0.5,25.2,41.2,6.7,80.7
BARC,BARC.AOS.buoy.c0,2016-10-12T04:00:00Z,2.5,25.2,40.7,7,84.6
BARC,BARC.AOS.buoy.c0,2016-10-12T04:00:00Z,3.5,25.2,40.6,6.9,83.5
BARC,BARC.AOS.buoy.c0,2016-10-12T04:00:00Z,2,25.2,40.7,7,84.2
BARC,BARC.AOS.buoy.c0,2016-10-12T04:00:00Z,3,25.2,40.6,7,84.2
BARC,BARC.AOS.buoy.c0,2016-10-12T04:00:00Z,1,25.2,40.9,6.7,80.5
BARC,BARC.AOS.buoy.c0,2016-11-02T04:00:00Z,0.5,24.4,45.6,8.6,101.5
BARC,BARC.AOS.buoy.c0,2016-11-02T04:00:00Z,2.5,24.2,46.1,8.5,100.3
BARC,BARC.AOS.buoy.c0,2016-11-02T04:00:00Z,1,24.4,45.9,8.7,102.7
BARC,BARC.AOS.buoy.c0,2016-11-02T04:00:00Z,3.5,24.2,46.1,8.3,97.9
BARC,BARC.AOS.buoy.c0,2016-11-02T04:00:00Z,3,24.2,46.1,8.3,98.1
BARC,BARC.AOS.buoy.c0,2016-11-02T04:00:00Z,1.5,24.3,46,8.6,102.3
BARC,BARC.AOS.buoy.c0,2016-11-02T04:00:00Z,2,24.3,46,8.6,101.8
BARC,BARC.AOS.buoy.c0,2016-11-02T04:00:00Z,4,24.2,45.9,8.1,95.6
BARC,BARC.AOS.buoy.c0,2016-11-02T04:00:00Z,4.5,24.2,45.9,7.1,84.4
BARC,BARC.AOS.buoy.c0,2016-12-13T05:00:00Z,4.5,18.1,45.3,8,85
BARC,BARC.AOS.buoy.c0,2016-12-13T05:00:00Z,1.5,18.8,45.5,8.1,86.7
BARC,BARC.AOS.buoy.c0,2016-12-13T05:00:00Z,2,18.4,45.3,8.3,87.8
BARC,BARC.AOS.buoy.c0,2016-12-13T05:00:00Z,0.5,19.3,46.4,8.5,92.5
BARC,BARC.AOS.buoy.c0,2016-12-13T05:00:00Z,4,18.1,45.4,8,84.7
BARC,BARC.AOS.buoy.c0,2016-12-13T05:00:00Z,1,19,45.5,8.5,91.3
BARC,BARC.AOS.buoy.c0,2016-12-13T05:00:00Z,2.5,18.3,45.2,8.1,86.5
BARC,BARC.AOS.buoy.c0,2016-12-13T05:00:00Z,3.5,18.1,45.3,8.1,85.3
BARC,BARC.AOS.buoy.c0,2016-12-13T05:00:00Z,3,18.2,45.2,7.9,83.3
BARC,BARC.AOS.buoy.c0,2017-02-01T05:00:00Z,2.5,16.5,44.7,8.8,90.1
BARC,BARC.AOS.buoy.c0,2017-02-01T05:00:00Z,3,16.5,44.7,8.7,88.6
BARC,BARC.AOS.buoy.c0,2017-02-01T05:00:00Z,3.5,16.4,44.8,9,91.3
BARC,BARC.AOS.buoy.c0,2017-02-01T05:00:00Z,1,16.5,44.8,9.3,94.7
BARC,BARC.AOS.buoy.c0,2017-02-01T05:00:00Z,0.5,16.6,44.8,9.1,92.6
BARC,BARC.AOS.buoy.c0,2017-02-01T05:00:00Z,2,16.5,44.8,8.7,88.8
BARC,BARC.AOS.buoy.c0,2017-02-01T05:00:00Z,1.5,16.5,44.8,9.1,93.2
BARC,BARC.AOS.buoy.c0,2017-02-01T05:00:00Z,4,16.4,44.7,8.9,91.2
BARC,BARC.AOS.buoy.c0,2017-02-07T05:00:00Z,1,17.4,44.9,9.7,101.6
BARC,BARC.AOS.buoy.c0,2017-02-07T05:00:00Z,1.5,17.4,44.9,9.4,98.2
BARC,BARC.AOS.buoy.c0,2017-02-07T05:00:00Z,0.5,17.5,45.1,9.7,101.5
BARC,BARC.AOS.buoy.c0,2017-02-07T05:00:00Z,4,17.4,44.9,9.4,99.4
BARC,BARC.AOS.buoy.c0,2017-02-07T05:00:00Z,2.5,17.4,44.8,9.7,101.4
BARC,BARC.AOS.buoy.c0,2017-02-07T05:00:00Z,3,17.4,44.8,9.7,101.8
BARC,BARC.AOS.buoy.c0,2017-02-07T05:00:00Z,3.5,17.4,44.8,9.6,100.5
BARC,BARC.AOS.buoy.c0,2017-02-07T05:00:00Z,2,17.4,44.9,9.7,102.2
BARC,BARC.AOS.buoy.c0,2017-02-22T05:00:00Z,1.5,19.9,44.3,8.5,93.5
BARC,BARC.AOS.buoy.c0,2017-02-22T05:00:00Z,2,19.9,44.4,8.5,93.2
BARC,BARC.AOS.buoy.c0,2017-02-22T05:00:00Z,3.5,19.9,44.5,8.5,93.2
BARC,BARC.AOS.buoy.c0,2017-02-22T05:00:00Z,3,19.9,44.5,8.6,93.9
BARC,BARC.AOS.buoy.c0,2017-02-22T05:00:00Z,4,19.9,44.5,8.5,94
BARC,BARC.AOS.buoy.c0,2017-02-22T05:00:00Z,0.5,19.9,44.4,8.6,93.3
BARC,BARC.AOS.buoy.c0,2017-02-22T05:00:00Z,1,19.9,44.3,8.5,93.4
BARC,BARC.AOS.buoy.c0,2017-02-22T05:00:00Z,2.5,19.9,44.4,8.5,93.4
BARC,BARC.AOS.buoy.c0,2017-03-02T05:00:00Z,3.5,21.5,44.2,8.5,96.1
BARC,BARC.AOS.buoy.c0,2017-03-02T05:00:00Z,0.5,22,43.3,8.3,95.1
BARC,BARC.AOS.buoy.c0,2017-03-02T05:00:00Z,3,21.6,44.2,8.1,92
BARC,BARC.AOS.buoy.c0,2017-03-02T05:00:00Z,2,22,43.7,8.1,93
BARC,BARC.AOS.buoy.c0,2017-03-02T05:00:00Z,4,21.4,44.1,8.6,97.4
BARC,BARC.AOS.buoy.c0,2017-03-02T05:00:00Z,2.5,22,44.1,8.3,94.9
BARC,BARC.AOS.buoy.c0,2017-03-02T05:00:00Z,1,22,43.6,8.3,94.4
BARC,BARC.AOS.buoy.c0,2017-03-02T05:00:00Z,1.5,22,43.7,8.3,94.8
BARC,BARC.AOS.buoy.c0,2017-03-09T05:00:00Z,2,20.8,44.5,8.8,97.7
BARC,BARC.AOS.buoy.c0,2017-03-09T05:00:00Z,1,20.8,44.8,8.9,99.1
BARC,BARC.AOS.buoy.c0,2017-03-09T05:00:00Z,1.5,20.8,44.6,8.9,99.8
BARC,BARC.AOS.buoy.c0,2017-03-09T05:00:00Z,4,20.6,44.5,8.9,98.5
BARC,BARC.AOS.buoy.c0,2017-03-09T05:00:00Z,2.5,20.7,44.5,9,100.1
BARC,BARC.AOS.buoy.c0,2017-03-09T05:00:00Z,0.5,21,45,9,100.5
BARC,BARC.AOS.buoy.c0,2017-03-09T05:00:00Z,3,20.7,44.5,8.8,98.6
BARC,BARC.AOS.buoy.c0,2017-03-09T05:00:00Z,3.5,20.7,44.5,8.8,98.7
BARC,BARC.AOS.buoy.c0,2017-04-05T04:00:00Z,1.5,24.2,45.2,7.1,84.9
BARC,BARC.AOS.buoy.c0,2017-04-05T04:00:00Z,3.5,24,45.4,7.3,87.1
BARC,BARC.AOS.buoy.c0,2017-04-05T04:00:00Z,1,24.2,45.2,7.4,88.1
BARC,BARC.AOS.buoy.c0,2017-04-05T04:00:00Z,3,24.1,45.5,7.4,88.2
BARC,BARC.AOS.buoy.c0,2017-04-05T04:00:00Z,4,24,45.4,7.4,88.6
BARC,BARC.AOS.buoy.c0,2017-04-05T04:00:00Z,0.5,24.2,45.2,7.2,86.5
BARC,BARC.AOS.buoy.c0,2017-04-05T04:00:00Z,2.5,24.1,45.4,7.5,88.9
BARC,BARC.AOS.buoy.c0,2017-04-05T04:00:00Z,2,24.1,45.3,7.2,86.1
BARC,BARC.AOS.buoy.c0,2017-05-02T04:00:00Z,1,27.5,46.9,7,89
BARC,BARC.AOS.buoy.c0,2017-05-02T04:00:00Z,2,27.5,46.9,7,88.5
BARC,BARC.AOS.buoy.c0,2017-05-02T04:00:00Z,3,27.5,46.9,7,88.6
BARC,BARC.AOS.buoy.c0,2017-05-02T04:00:00Z,2.5,27.5,46.9,7,88.8
BARC,BARC.AOS.buoy.c0,2017-05-02T04:00:00Z,3.5,27.5,47,7,88.5
BARC,BARC.AOS.buoy.c0,2017-05-02T04:00:00Z,4,27.5,47,6.9,86.8
BARC,BARC.AOS.buoy.c0,2017-05-02T04:00:00Z,1.5,27.5,46.8,7,88.7
BARC,BARC.AOS.buoy.c0,2017-05-02T04:00:00Z,0.5,27.4,47,7.1,90.2
BARC,BARC.AOS.buoy.c0,2017-06-08T04:00:00Z,1.5,27.6,43.4,6.7,84.9
BARC,BARC.AOS.buoy.c0,2017-06-08T04:00:00Z,4,27.5,43.2,6.2,78.7
BARC,BARC.AOS.buoy.c0,2017-06-08T04:00:00Z,2,27.6,43.4,6.6,84.2
BARC,BARC.AOS.buoy.c0,2017-06-08T04:00:00Z,3,27.5,43.3,6.4,80.6
BARC,BARC.AOS.buoy.c0,2017-06-08T04:00:00Z,0.5,27.6,43.3,6.8,85.5
BARC,BARC.AOS.buoy.c0,2017-06-08T04:00:00Z,2.5,27.6,43.4,6.6,82.9
BARC,BARC.AOS.buoy.c0,2017-06-08T04:00:00Z,3.5,27.5,43.2,6.3,79.4
BARC,BARC.AOS.buoy.c0,2017-06-08T04:00:00Z,1,27.6,43.3,6.7,85.2
BARC,BARC.AOS.buoy.c0,2017-06-27T04:00:00Z,2.5,30.9,41.3,6.1,81.4
BARC,BARC.AOS.buoy.c0,2017-06-27T04:00:00Z,3.5,30.8,41,6,80.5
BARC,BARC.AOS.buoy.c0,2017-06-27T04:00:00Z,1.5,30.9,41.3,6.1,77.7
BARC,BARC.AOS.buoy.c0,2017-06-27T04:00:00Z,3,30.9,41.1,6.2,82.2
BARC,BARC.AOS.buoy.c0,2017-06-27T04:00:00Z,0.5,30.9,41.3,6,80.8
BARC,BARC.AOS.buoy.c0,2017-06-27T04:00:00Z,1,30.9,41.3,6,80.5
BARC,BARC.AOS.buoy.c0,2017-06-27T04:00:00Z,2,30.9,41.4,6,80.4
BARC,BARC.AOS.buoy.c0,2017-06-27T04:00:00Z,4,30.7,40.7,3.9,54.2
BARC,BARC.AOS.buoy.c0,2017-06-28T04:00:00Z,3.5,30.3,42.9,4.8,63.6
BARC,BARC.AOS.buoy.c0,2017-06-28T04:00:00Z,2.5,30.4,43,5.3,70.2
BARC,BARC.AOS.buoy.c0,2017-06-28T04:00:00Z,1,30.4,42.9,5.2,70.2
BARC,BARC.AOS.buoy.c0,2017-06-28T04:00:00Z,1.5,30.4,42.7,5.3,70.3
