Lake,Date,sample,CH4,CO2,N20
BARC,2016-07-06T04:00:00Z,AIR,9.12598,774.7426,0.8183
BARC,2016-07-06T04:00:00Z,WAT,106.38138,1457.44029,0.81501
BARC,2016-07-06T04:00:00Z,WAT,91.12867,1373.25723,0.8003
BARC,2016-07-06T04:00:00Z,WAT,95.5255,1411.6226,0.82588
BARC,2016-08-10T04:00:00Z,AIR,3.32818,735.66314,0.89124
BARC,2016-08-10T04:00:00Z,WAT,37.07543,2208.00847,0.89422
BARC,2016-08-10T04:00:00Z,WAT,34.29168,1661.76813,0.89792
BARC,2016-08-10T04:00:00Z,WAT,46.28253,1682.21592,0.77979
BARC,2016-09-07T04:00:00Z,WAT,42.36358,1431.9297,1.27659
BARC,2016-09-07T04:00:00Z,AIR,2.60439,621.41048,0.76064
BARC,2016-09-07T04:00:00Z,WAT,47.43599,1871.80337,1.14032
BARC,2016-09-07T04:00:00Z,WAT,34.20314,1472.46789,0.93923
BARC,2016-10-12T04:00:00Z,AIR,1.14,469.9,0.804
BARC,2016-10-12T04:00:00Z,WAT,19.76,1217.9,1.011
BARC,2016-10-12T04:00:00Z,WAT,21.48,1279.9,1.012
BARC,2016-10-12T04:00:00Z,WAT,19.77,1417,0.943
BARC,2016-11-02T04:00:00Z,WAT,17.948,1215.6,0.482
BARC,2016-11-02T04:00:00Z,AIR,1.987,717.3,0.454
BARC,2016-11-02T04:00:00Z,WAT,5.233,1120.6,0.798
BARC,2016-11-02T04:00:00Z,WAT,2.015,767.2,0.793
BARC,2016-12-13T05:00:00Z,WAT,15.967,1318.6,0.482
BARC,2016-12-13T05:00:00Z,WAT,4.641,1302.3,0.721
BARC,2016-12-13T05:00:00Z,WAT,7.43,602.1,0.774
BARC,2016-12-13T05:00:00Z,AIR,1.92,461.5,0.638
BARC,2017-02-01T05:00:00Z,AIR,8.097,1034,0.637
BARC,2017-02-01T05:00:00Z,WAT,5.028,1121.3,0.827
BARC,2017-02-01T05:00:00Z,WAT,8.69,1166.2,0.694
BARC,2017-02-01T05:00:00Z,WAT,18.42,1412.3,0.503
BARC,2017-03-09T05:00:00Z,WAT,27.074,2554.8,0.634
BARC,2017-03-09T05:00:00Z,WAT,25.816,1005.1,0.64
BARC,2017-03-09T05:00:00Z,AIR,2.118,762.1,0.64
BARC,2017-03-09T05:00:00Z,WAT,24.54,2900.4,0.548
BARC,2017-04-05T04:00:00Z,WAT,26.039,956,0.695
BARC,2017-04-05T04:00:00Z,WAT,37.315,1010,0.691
BARC,2017-04-05T04:00:00Z,WAT,32.693,1146.4,0.644
BARC,2017-04-05T04:00:00Z,AIR,2.157,475.5,0.501
BARC,2017-05-02T04:00:00Z,WAT,56.37,955.5,0.831
BARC,2017-05-02T04:00:00Z,AIR,2.091,460,0.694
BARC,2017-05-02T04:00:00Z,WAT,31.798,745.6,0.636
BARC,2017-05-02T04:00:00Z,WAT,41.935,691.4,0.614
BARC,2017-06-08T04:00:00Z,WAT,106.542,1074.6,0.3592
BARC,2017-06-08T04:00:00Z,AIR,2.086,606.2,0.425
BARC,2017-06-08T04:00:00Z,WAT,67.064,1291.2,0.3704
BARC,2017-06-08T04:00:00Z,WAT,85.872,1045.7,0.3562
BARC,2017-06-27T04:00:00Z,WAT,106.938,1861.8,0.4152
BARC,2017-06-27T04:00:00Z,WAT,203.477,2007.8,0.4265
BARC,2017-06-27T04:00:00Z,AIR,2.224,792.2,0.4623
BARC,2017-06-27T04:00:00Z,WAT,95.478,1830.9,0.4371
BARC,2017-08-02T04:00:00Z,WAT,28.634,2418.17,0.5822
BARC,2017-08-02T04:00:00Z,WAT,70.079,1885.28,0.5512
BARC,2017-08-02T04:00:00Z,WAT,30.673,2377.24,0.5428
BARC,2017-08-02T04:00:00Z,AIR,1.145,614.77,0.6009
BARC,2017-09-05T04:00:00Z,AIR,2.3482201,589.1910535,0.5501281
BARC,2017-09-05T04:00:00Z,WAT,22.7648259,2311.7262659,0.6001373
BARC,2017-09-05T04:00:00Z,WAT,49.34161,2157.0881618,0.615085
BARC,2017-09-05T04:00:00Z,WAT,45.8941083,2810.7879206,0.4384663
BARC,2017-10-10T04:00:00Z,AIR,1.1355626,639.4671822,0.631328
BARC,2017-10-10T04:00:00Z,WAT,13.3128899,1333.021751,0.7259158
BARC,2017-10-10T04:00:00Z,WAT,8.4499556,1452.658659,0.5959929
BARC,2017-10-10T04:00:00Z,WAT,10.6664418,1304.5429256,0.5728396
BARC,2017-11-07T05:00:00Z,WAT,3.0392108,1548.6256366,0.4281406
BARC,2017-11-07T05:00:00Z,WAT,7.134238,1970.448482,0.5557396
BARC,2017-11-07T05:00:00Z,WAT,2.0948643,1609.8354984,0.5705716
BARC,2017-11-07T05:00:00Z,AIR,1.7865309,576.1228902,0.4045154
BARC,2017-12-05T05:00:00Z,WAT,6.359242,1269.9933615,0.4694414
BARC,2017-12-05T05:00:00Z,AIR,2.7251466,794.414506,1.0259919
BARC,2017-12-05T05:00:00Z,WAT,6.54847,1386.2441153,0.7058677
BARC,2017-12-05T05:00:00Z,WAT,6.141558,1743.2739015,0.6591344
BARC,2018-01-04T05:00:00Z,WAT,5.296873,927.812438,0.7074437
BARC,2018-01-04T05:00:00Z,AIR,2.5507695,499.4527346,0.5693534
BARC,2018-02-06T05:00:00Z,WAT,4.7305592,910.2542047,0.7244129
BARC,2018-02-06T05:00:00Z,AIR,2.4685219,548.8878496,0.5834322
BARC,2018-03-05T05:00:00Z,AIR,2.3974314,487.252926,0.5313397
