Lake,namedLocation,Date,pH,DIC,DOC,TOC,TN,NIT,AMM,TDN,TP,FRP,TDP
BARC,BARC.AOS.buoy.c0,2016-10-12T04:00:00Z,5.6,0.2633,1.621,1.76,0.1638,0.004,0.09,0.1301,0.067,0.074,0.003
BARC,BARC.AOS.inlet,2016-10-12T04:00:00Z,5.29,0.2653,1.563,1.94,0.2067,0.001,0.02,0.1346,0.033,0.02,0.011
BARC,BARC.AOS.outlet,2016-10-12T04:00:00Z,5.33,0.2128,1.72,1.94,0.1615,0,0.07,0.1263,0.067,0.022,0.039
BARC,BARC.AOS.buoy.c0,2016-11-02T04:00:00Z,5.17,0.3691,2.182,1.79,0.1478,0.004,0.1,0.1139,0.017,0.356,0.014
BARC,BARC.AOS.inlet,2016-11-02T04:00:00Z,5.23,0.4576,1.761,1.72,0.1514,0.003,0.11,0.1341,0.016,0.409,0.014
BARC,BARC.AOS.outlet,2016-11-02T04:00:00Z,5.52,0.407,1.723,1.89,0.1402,0.004,0.09,0.1217,0.009,0.449,0.006
BARC,BARC.AOS.inlet,2016-12-13T05:00:00Z,5.24,0.2733,2.094,1.77,0.2053,0.008,0.07,0.2058,0.001,0.055,0
BARC,BARC.AOS.outlet,2016-12-13T05:00:00Z,5.04,0.2206,8.057,1.85,0.1569,0.017,0.06,0.1374,0.001,0.055,0
BARC,BARC.AOS.buoy.c0,2016-12-13T05:00:00Z,5.46,0.3842,1.655,1.76,0.2058,0.008,0.05,0.1994,0.003,0.058,0.001
BARC,BARC.AOS.buoy.c0,2017-02-01T05:00:00Z,4.98,0.2524,2.217,2.31,0.1228,-0.003,0.07,0.153,0.001,0.03,5e-4
BARC,BARC.AOS.inlet,2017-02-01T05:00:00Z,4.95,0.2263,2.493,1.67,0.1165,-0.004,0.07,0.1257,0.002,0.036,5e-4
BARC,BARC.AOS.outlet,2017-02-01T05:00:00Z,5.31,0.2113,1.786,1.97,0.1633,-0.003,0.06,0.1777,0.002,0.03,5e-4
BARC,BARC.AOS.buoy.c0,2017-03-09T05:00:00Z,5.04,0.3524,1.366,1.41,0.0276,0.004,0.02,0.1192,0.007,0.021,0.0055
BARC,BARC.AOS.inlet,2017-03-09T05:00:00Z,5.53,0.3656,1.277,1.42,0.0276,0.001,0.04,0.1309,0.019,0.023,0.015
BARC,BARC.AOS.outlet,2017-03-09T05:00:00Z,5.03,0.2778,1.417,1.41,0.1687,-0.003,0.01,0.0276,0.009,0.022,0.007
BARC,BARC.AOS.buoy.c0,2017-04-05T04:00:00Z,5.46,0.3656,2.222,1.58,0.1359,0.043,0.07,0.2105,0.005,0.024,0.003
BARC,BARC.AOS.inlet,2017-04-05T04:00:00Z,4.94,0.2502,1.601,1.41,0.1437,-0.003,0.03,0.0077,0.007,0.023,0.005
BARC,BARC.AOS.outlet,2017-04-05T04:00:00Z,5.01,0.232,1.404,1.37,0.1832,0.008,0.02,0.1556,0.005,0.022,0.004
BARC,BARC.AOS.buoy.c0,2017-05-02T04:00:00Z,5.05,0.2947,1.25,1.59,0.1277,0.008,0.08,0.1786,0.005,0.015,0.0035
BARC,BARC.AOS.inlet,2017-05-02T04:00:00Z,5.4,0.2455,1.178,1.51,0.0934,0.004,0.04,0.1937,0.016,0.014,0.013
BARC,BARC.AOS.outlet,2017-05-02T04:00:00Z,4.92,0.2454,1.246,1.49,0.1136,0.004,0.05,0.1781,0.012,0.015,0.009
BARC,BARC.AOS.buoy.c0,2017-06-08T04:00:00Z,7.17,0.3908,1.674,1.72,0.149,0.023,0.02,0.1124,0.013,0.001,0.011
BARC,BARC.AOS.buoy.c0,2017-06-08T04:00:00Z,7.19,0.2659,1.613,1.88,0.1372,0.026,0.07,0.1094,0.013,0.003,0.012
BARC,BARC.AOS.buoy.c0,2017-06-08T04:00:00Z,7.18,0.2592,1.504,1.79,0.1589,0.031,0.18,0.1064,0.014,0.002,0.011
BARC,BARC.AOS.inlet,2017-06-08T04:00:00Z,5.57,0.2426,1.513,1.51,0.1313,0.031,0.07,0.1246,0.008,0.002,0.006
BARC,BARC.AOS.outlet,2017-06-08T04:00:00Z,6.29,0.2332,1.549,2.02,0.1275,0.032,-0.01,0.1253,0.001,0.002,5e-4
BARC,BARC.AOS.buoy.c0,2017-06-27T04:00:00Z,5.45,0.3996,1.949,0.22,1.97,0.011,0.15,0.127,0.005,0.024,5e-4
BARC,BARC.AOS.inlet,2017-06-27T04:00:00Z,8.58,0.386,1.848,0.17,1.849,0.013,0.1,0.0944,0.0252,0.023,0.001
BARC,BARC.AOS.outlet,2017-06-27T04:00:00Z,5.28,0.2287,1.79,0.18,1.983,0.017,0.09,0.0948,0.0494,0.023,5e-4
BARC,BARC.AOS.buoy.c0,2017-08-02T04:00:00Z,5.32,0.5083,2.341,2.04,0.161,0.0483,0.05,0.1499,0.004,0.036,0.003
BARC,BARC.AOS.inlet,2017-08-02T04:00:00Z,5.96,0.597,1.642,1.85,0.1749,0.0459,0.04,0.1052,0.004,0.081,0.003
BARC,BARC.AOS.outlet,2017-08-02T04:00:00Z,5.56,0.6168,1.674,2,0.1567,0.0493,0.04,0.1035,5e-4,0.035,0.017
BARC,BARC.AOS.buoy.c0,2017-09-05T04:00:00Z,5.7,0.8118,2.01,2.22,0.21,0.0213,0.02,0.1491,0.005,0.023,0.0016
BARC,BARC.AOS.buoy.c0,2017-09-05T04:00:00Z,5.61,0.7188,1.983,2.18,0.171,0.019,0.01,0.1612,0.007,0.023,0.003
BARC,BARC.AOS.buoy.c0,2017-09-05T04:00:00Z,5.62,0.6141,2.157,2.36,0.1729,0.0195,0.02,0.1431,0.006,0.026,0.0032
BARC,BARC.AOS.inlet,2017-09-05T04:00:00Z,5.66,0.715,1.871,2.28,0.2017,0.019,0.02,0.144,0.016,0.023,0.0155
BARC,BARC.AOS.outlet,2017-09-05T04:00:00Z,5.54,0.6414,2.062,2.33,0.2019,0.0179,0.01,0.1624,0.012,0.024,0.0078
