time,FLOW,SALT,TEMP
2013-05-10 00:00:00,1.142197802,0,6.359887218
2013-05-11 00:00:00,1.142197802,0,6.371353383
2013-05-12 00:00:00,1.144725275,0,6.382819549
2013-05-13 00:00:00,1.147252747,0,6.394285714
2013-05-14 00:00:00,1.14978022,0,6.40575188
2013-05-15 00:00:00,1.152307692,0,6.417218045
2013-05-16 00:00:00,1.154835165,0,6.428684211
2013-05-17 00:00:00,1.157362637,0,6.440150376
2013-05-18 00:00:00,1.15989011,0,6.451616541
2013-05-19 00:00:00,1.162417582,0,6.463082707
2013-05-20 00:00:00,1.164945055,0,6.474548872
2013-05-21 00:00:00,1.167472527,0,6.486015038
2013-05-22 00:00:00,1.17,0,6.497481203
2013-05-23 00:00:00,1.05,0,6.508947368
2013-05-24 00:00:00,0.83,0,6.520413534
2013-05-25 00:00:00,0.59,0,6.531879699
2013-05-26 00:00:00,0.62,0,6.543345865
2013-05-27 00:00:00,0.95,0,6.55481203
2013-05-28 00:00:00,1.02,0,6.566278195
2013-05-29 00:00:00,0.85,0,6.577744361
2013-05-30 00:00:00,0.68,0,6.589210526
2013-05-31 00:00:00,0.58,0,6.600676692
2013-06-01 00:00:00,0.58,0,6.612142857
2013-06-02 00:00:00,0.74,0,6.623609023
2013-06-03 00:00:00,0.77,0,6.635075188
2013-06-04 00:00:00,0.72,0,6.646541353
2013-06-05 00:00:00,0.6,0,6.658007519
2013-06-06 00:00:00,0.51,0,6.669473684
2013-06-07 00:00:00,0.66,0,6.68093985
2013-06-08 00:00:00,0.7,0,6.692406015
2013-06-09 00:00:00,0.64,0,6.70387218
2013-06-10 00:00:00,1.97,0,6.715338346
2013-06-11 00:00:00,1.7,0,6.726804511
2013-06-12 00:00:00,1.83,0,6.738270677
2013-06-13 00:00:00,1.42,0,6.749736842
2013-06-14 00:00:00,0.97,0,6.761203008
2013-06-15 00:00:00,0.71,0,6.772669173
2013-06-16 00:00:00,0.65,0,6.784135338
2013-06-17 00:00:00,1.31,0,6.795601504
2013-06-18 00:00:00,1.9,0,6.807067669
2013-06-19 00:00:00,1.87,0,6.818533835
2013-06-20 00:00:00,1.33,0,6.83
2013-06-21 00:00:00,0.99,0,7.331428571
2013-06-22 00:00:00,0.78,0,7.832857143
2013-06-23 00:00:00,0.64,0,8.334285714
2013-06-24 00:00:00,0.53,0,8.835714286
2013-06-25 00:00:00,0.49,0,9.337142857
2013-06-26 00:00:00,0.95,0,9.838571429
2013-06-27 00:00:00,0.94,0,10.34
2013-06-28 00:00:00,0.71,0,10.70714286
2013-06-29 00:00:00,0.57,0,11.07428571
2013-06-30 00:00:00,0.49,0,11.44142857
2013-07-01 00:00:00,1.11,0,11.80857143
2013-07-02 00:00:00,1.48,0,12.17571429
2013-07-03 00:00:00,1.06,0,12.54285714
2013-07-04 00:00:00,0.74,0,12.91
2013-07-05 00:00:00,0.54,0,13.14
2013-07-06 00:00:00,0.43,0,13.37
2013-07-07 00:00:00,0.35,0,13.6
2013-07-08 00:00:00,0.36,0,13.83
2013-07-09 00:00:00,0.42,0,14.06
2013-07-10 00:00:00,0.48,0,14.29
2013-07-11 00:00:00,2.01,0,14.52
2013-07-12 00:00:00,1.86,0,14.41571429
2013-07-13 00:00:00,1.19,0,14.31142857
2013-07-14 00:00:00,1.42,0,14.20714286
2013-07-15 00:00:00,1.39,0,14.10285714
2013-07-16 00:00:00,1.07,0,13.99857143
2013-07-17 00:00:00,0.97,0,13.89428571
2013-07-18 00:00:00,1.1,0,13.79
2013-07-19 00:00:00,0.94,0,13.51285714
2013-07-20 00:00:00,0.78,0,13.23571429
2013-07-21 00:00:00,1.36,0,12.95857143
2013-07-22 00:00:00,1.67,0,12.68142857
2013-07-23 00:00:00,1.84,0,12.40428571
2013-07-24 00:00:00,1.49,0,12.12714286
2013-07-25 00:00:00,1.11,0,11.85
2013-07-26 00:00:00,0.84,0,11.60142857
2013-07-27 00:00:00,0.68,0,11.35285714
2013-07-28 00:00:00,0.57,0,11.10428571
2013-07-29 00:00:00,0.54,0,10.85571429
2013-07-30 00:00:00,1.27,0,10.60714286
2013-07-31 00:00:00,1.56,0,10.35857143
2013-08-01 00:00:00,1.27,0,10.11
2013-08-02 00:00:00,1.02,0,10.00714286
2013-08-03 00:00:00,1.02,0,9.904285714
2013-08-04 00:00:00,1.19,0,9.801428571
2013-08-05 00:00:00,1.3,0,9.698571429
2013-08-06 00:00:00,1.51,0,9.595714286
2013-08-07 00:00:00,1.18,0,9.492857143
2013-08-08 00:00:00,0.94,0,9.39
2013-08-09 00:00:00,0.79,0,9.431428571
2013-08-10 00:00:00,0.69,0,9.472857143
2013-08-11 00:00:00,0.68,0,9.514285714
2013-08-12 00:00:00,0.71,0,9.555714286
2013-08-13 00:00:00,0.62,0,9.597142857
2013-08-14 00:00:00,0.54,0,9.638571429
2013-08-15 00:00:00,0.47,0,9.68
2013-08-16 00:00:00,0.43,0,9.642857143
2013-08-17 00:00:00,0.38,0,9.605714286
2013-08-18 00:00:00,0.36,0,9.568571429
2013-08-19 00:00:00,0.36231095,0,9.531428571
2013-08-20 00:00:00,0.3646219,0,9.494285714
2013-08-21 00:00:00,0.36693285,0,9.457142857
2013-08-22 00:00:00,0.3692438,0,9.42
2013-08-23 00:00:00,0.37155475,0,9.351428571
2013-08-24 00:00:00,0.3738657,0,9.282857143
2013-08-25 00:00:00,0.376176651,0,9.214285714
2013-08-26 00:00:00,0.378487601,0,9.145714286
2013-08-27 00:00:00,0.380798551,0,9.077142857
2013-08-28 00:00:00,0.383109501,0,9.008571429
2013-08-29 00:00:00,0.385420451,0,8.94
2013-08-30 00:00:00,0.387731401,0,8.871428571
2013-08-31 00:00:00,0.390042351,0,8.802857143
2013-09-01 00:00:00,0.392353301,0,8.734285714
2013-09-02 00:00:00,0.394664251,0,8.665714286
2013-09-03 00:00:00,0.396975201,0,8.597142857
2013-09-04 00:00:00,0.399286151,0,8.528571429
2013-09-05 00:00:00,0.401597101,0,8.46
2013-09-06 00:00:00,0.403908052,0,8.192
2013-09-07 00:00:00,0.406219002,0,7.924
2013-09-08 00:00:00,0.408529952,0,7.656
2013-09-09 00:00:00,0.410840902,0,7.388
2013-09-10 00:00:00,0.413151852,0,7.12
2013-09-11 00:00:00,0.415462802,0,6.852
2013-09-12 00:00:00,0.417773752,0,6.584
2013-09-13 00:00:00,0.420084702,0,6.316
2013-09-14 00:00:00,0.422395652,0,6.048
2013-09-15 00:00:00,0.424706602,0,5.78
2013-09-16 00:00:00,0.427017552,0,5.776570397
2013-09-17 00:00:00,0.429328502,0,5.773140794
2013-09-18 00:00:00,0.431639453,0,5.769711191
