time,flow,temp,salt
2000-04-01 00:00:00,    0.000000,   17.639063,    0.500000
2000-04-02 00:00:00,    0.000000,   17.555686,    0.500012
2000-04-03 00:00:00,    0.000000,   17.480370,    0.500012
2000-04-04 00:00:00,    0.000000,   17.403524,    0.500011
2000-04-05 00:00:00,    0.000000,   17.325186,    0.500011
2000-04-06 00:00:00,    0.000000,   17.252750,    0.500011
2000-04-07 00:00:00,    0.000000,   17.211542,    0.500008
2000-04-08 00:00:00,    0.000000,   17.145043,    0.500007
2000-04-09 00:00:00,    0.000000,   17.102554,    0.500005
2000-04-10 00:00:00,    0.000000,   17.035183,    0.500005
2000-04-11 00:00:00,    0.000000,   16.961632,    0.500005
2000-04-12 00:00:00,    0.000000,   16.889004,    0.500005
2000-04-13 00:00:00,    0.000000,   16.849930,    0.500002
2000-04-14 00:00:00,    0.000000,   16.798554,    0.500001
2000-04-15 00:00:00,    0.000000,   16.732114,    0.500001
2000-04-16 00:00:00,    0.000000,   16.666102,    0.500000
2000-04-17 00:00:00,    0.000000,   16.598224,    0.500000
2000-04-18 00:00:00,    0.000000,   16.532367,    0.500000
2000-04-19 00:00:00,    0.000000,   16.506168,    0.499997
2000-04-20 00:00:00,    0.000000,   16.455176,    0.499996
2000-04-21 00:00:00,    0.000000,   16.395195,    0.499996
2000-04-22 00:00:00,    0.000000,   16.349196,    0.499995
2000-04-23 00:00:00,    0.000000,   16.289513,    0.499995
2000-04-24 00:00:00,    0.000000,   16.232307,    0.499994
2000-04-25 00:00:00,    0.000000,   16.180741,    0.499993
2000-04-26 00:00:00,    0.000000,   16.126150,    0.499993
2000-04-27 00:00:00,    0.000000,   16.069598,    0.499993
2000-04-28 00:00:00,    0.000000,   16.036157,    0.499991
2000-04-29 00:00:00,    0.000000,   15.996583,    0.499990
2000-04-30 00:00:00,    0.000000,   15.953291,    0.499989
2000-05-01 00:00:00,    0.000000,   15.898489,    0.499989
2000-05-02 00:00:00,    0.000000,   15.847375,    0.499988
2000-05-03 00:00:00,    0.000000,   15.791699,    0.499988
2000-05-04 00:00:00,    0.000000,   15.761090,    0.499987
2000-05-05 00:00:00,    0.000000,   15.719783,    0.499986
2000-05-06 00:00:00,    0.000000,   15.680095,    0.499985
2000-05-07 00:00:00,    0.000000,   15.648973,    0.499983
2000-05-08 00:00:00,    0.000000,   15.626062,    0.499982
2000-05-09 00:00:00,    0.000000,   15.577041,    0.499982
2000-05-10 00:00:00,    0.000000,   15.528979,    0.499981
2000-05-11 00:00:00,    0.000000,   15.483594,    0.499981
2000-05-12 00:00:00,    0.000000,   15.448281,    0.499980
2000-05-13 00:00:00,    0.000000,   15.419524,    0.499979
2000-05-14 00:00:00,    0.000000,   15.404372,    0.499977
2000-05-15 00:00:00,    0.000000,   15.387061,    0.499975
2000-05-16 00:00:00,    0.000000,   15.385070,    0.499973
2000-05-17 00:00:00,    0.000000,   15.339344,    0.499973
2000-05-18 00:00:00,    0.000000,   15.312325,    0.499972
2000-05-19 00:00:00,    0.000000,   15.283729,    0.499971
2000-05-20 00:00:00,    0.000000,   15.261536,    0.499970
2000-05-21 00:00:00,    0.000000,   15.231856,    0.499969
2000-05-22 00:00:00,    0.000000,   15.202094,    0.499968
2000-05-23 00:00:00,    0.000000,   15.190144,    0.499966
2000-05-24 00:00:00,    0.000000,   15.191537,    0.499964
2000-05-25 00:00:00,    0.000000,   15.155787,    0.499964
2000-05-26 00:00:00,    0.000000,   15.144101,    0.499962
2000-05-27 00:00:00,    0.000000,   15.107812,    0.499962
2000-05-28 00:00:00,    0.000000,   15.075184,    0.499962
2000-05-29 00:00:00,    0.000000,   15.041656,    0.499961
2000-05-30 00:00:00,    0.000000,   15.003376,    0.499961
2000-05-31 00:00:00,    0.000000,   14.979323,    0.499961
2000-06-01 00:00:00,    0.000000,   14.947974,    0.499960
2000-06-02 00:00:00,    0.000000,   14.936619,    0.499959
2000-06-03 00:00:00,    0.000000,   14.917206,    0.499958
2000-06-04 00:00:00,    0.000000,   14.902440,    0.499957
2000-06-05 00:00:00,    0.000000,   14.907178,    0.499955
2000-06-06 00:00:00,    0.000000,   14.911336,    0.499954
2000-06-07 00:00:00,    0.000000,   14.907935,    0.499952
