time,FLOW,SALT,TEMP,OGM_doc,OGM_poc,OGM_don,NIT_nit,NIT_amm,OGM_pon,OGM_dop,OGM_pop,PHS_frp_ads,PHS_frp
2011-10-07 00:00:00,1.36,0,6.7,583.3333,58.33333,90.2708,902.7076,14.8219,90.2708,0.49413,0.1719319,1.267,0.6009381
2011-10-08 00:00:00,2.5,0,11.8,583.3333,58.33333,96.7454,967.454,12.6839,96.7454,0.452946,0.15760198,1.1614,0.55085202
2011-10-09 00:00:00,2.14,0,16.5,583.3333,58.33333,103.3148,1033.1481,10.9418,103.3148,0.4168905,0.145056515,1.06895,0.507002985
2011-10-10 00:00:00,2,0,17,583.3333,58.33333,110.1214,1101.2141,9.4793,110.1214,0.3845595,0.133806985,0.98605,0.467683515
2011-10-11 00:00:00,2.1,0,14.9,583.3333,58.33333,116.1932,1161.9321,8.4018,116.1932,0.3588,0.124844,0.92,0.436356
2011-10-12 00:00:00,2.43,0,11.5,583.3333,58.33333,92.2246,922.2458,14.1353,92.2246,0.4623255,0.160865565,1.18545,0.562258935
2011-10-13 00:00:00,3.79,0,12,583.3333,58.33333,69.2055,692.0546,26.9749,69.2055,0.634608,0.22081104,1.6272,0.77178096
2011-10-14 00:00:00,3.17,0,14.4,583.3333,58.33333,75.1692,751.6917,22.4027,75.1692,0.573183,0.19943829,1.4697,0.69707871
2011-10-15 00:00:00,2.87,0,13.2,583.3333,58.33333,77.1283,771.283,21.1476,77.1283,0.552201,0.19213763,1.4159,0.67156137
2011-10-16 00:00:00,2.42,0,10.6,583.3333,58.33333,80.19,801.8997,19.379,80.19,0.524121,0.18236723,1.3439,0.63741177
2011-10-17 00:00:00,2.61,0,11.1,583.3333,58.33333,84.2747,842.7474,17.3338,84.2747,0.491439,0.17099557,1.2601,0.59766543
2011-10-18 00:00:00,2.6,0,10,583.3333,58.33333,86.8968,868.9682,16.1834,86.8968,0.470886,0.16384418,1.2074,0.57266982
2011-10-19 00:00:00,2.88,0,11.1,583.3333,58.33333,89.1425,891.4251,15.2848,89.1425,0.453843,0.15791409,1.1637,0.55194291
2011-10-20 00:00:00,1.51,0,12.1,583.3333,58.33333,92.0578,920.5777,14.2213,92.0578,0.434187,0.15107481,1.1133,0.52803819
2011-10-21 00:00:00,2.06,0,12.2,583.3333,58.33333,95.9501,959.5013,12.9599,95.9501,0.4110405,0.143021015,1.05395,0.499888485
2011-10-22 00:00:00,2.04,0,9.9,583.3333,58.33333,100.8766,1008.7658,11.5825,100.8766,0.385398,0.13409874,0.9882,0.46870326
2011-10-23 00:00:00,2.03,0,9,583.3333,58.33333,100.7158,1007.1585,11.6281,100.7158,0.383136,0.13331168,0.9824,0.46595232
2011-10-24 00:00:00,2.56,0,9,583.3333,58.33333,96.6212,966.2121,12.7712,96.6212,0.3985215,0.138665045,1.02185,0.484663455
2011-10-25 00:00:00,3.26,0,9.4,583.3333,58.33333,98.9905,989.9053,12.098,98.9905,0.3848325,0.133901975,0.98675,0.468015525
2011-10-26 00:00:00,1.5,0,6,583.3333,58.33333,103.4432,1034.4317,10.9615,103.4432,0.363402,0.12644526,0.9318,0.44195274
2011-10-27 00:00:00,2.35,0,6.2,583.3333,58.33333,107.534,1075.3395,10.049,107.534,0.345228,0.12012164,0.8852,0.41985036
2011-10-28 00:00:00,2.19,0,2.4,583.3333,58.33333,112.443,1124.43,9.0919,112.443,0.325806,0.11336378,0.8354,0.39623022
2011-10-29 00:00:00,2.21,0,1.7,583.3333,58.33333,118.3922,1183.9217,8.0989,118.3922,0.3050775,0.106151325,0.78225,0.371021175
2011-10-30 00:00:00,2.2,0,2,583.3333,58.33333,119.6126,1196.1264,7.9175,119.6126,0.299442,0.10419046,0.7678,0.36416754
