datetime,stage
2011-08-21,33.54744
2011-08-22,33.550488
2011-08-23,33.544392
2011-08-24,33.535248
2011-08-25,33.51696
2011-08-26,33.480384
2011-08-27,33.44076
2011-08-28,33.526104
2011-08-29,33.660216
2011-08-30,33.687648
2011-08-31,33.69984
2011-09-01,33.696792
2011-09-02,33.6846
2011-09-03,33.666312
2011-09-04,33.651072
2011-09-05,33.660216
2011-09-06,33.739464
2011-09-07,33.779088
2011-09-08,33.815664
2011-09-09,33.80652
2011-09-10,33.782136
2011-09-11,33.748608
2011-09-12,33.708984
2011-09-13,33.66936
2011-09-14,33.626688
2011-09-15,33.605352
2011-09-16,33.57792
2011-09-17,33.550488
2011-09-18,33.535248
2011-09-20,33.48648
2011-09-21,33.477336
2011-09-22,33.48648
2011-09-23,33.492576
2011-09-24,33.495624
2011-09-25,33.495624
2011-09-26,33.492576
2011-09-27,33.489528
2011-09-28,33.483432
2011-09-29,33.498672
2011-09-30,33.5322
2011-10-01,33.580968
2011-10-02,33.617544
2011-10-03,33.635832
2011-10-04,33.635832
2011-10-05,33.632784
2011-10-06,33.611448
2011-10-07,33.587064
2011-10-08,33.559632
2011-10-09,33.5322
2011-10-10,33.507816
2011-10-11,33.489528
2011-10-12,33.480384
2011-10-14,33.483432
2011-10-15,33.504768
2011-10-16,33.498672
2011-10-17,33.489528
2011-10-18,33.477336
2011-10-19,33.468192
2011-10-20,33.474288
2011-10-21,33.468192
2011-10-22,33.456
2011-10-23,33.443808
2011-10-24,33.431616
2011-10-25,33.416376
2011-10-26,33.401136
2011-10-27,33.391992
2011-10-28,33.388944
2011-10-29,33.3798
2011-10-30,33.382848
2011-10-31,33.373704
2011-11-01,33.361512
2011-11-02,33.34932
2011-11-03,33.340176
2011-11-04,33.337128
2011-11-05,33.327984
2011-11-06,33.312744
2011-11-07,33.294456
2011-11-08,33.276168
2011-11-09,33.263976
2011-11-10,33.248736
2011-11-11,33.245688
2011-11-12,33.233496
2011-11-13,33.218256
2011-11-14,33.203016
2011-11-15,33.199968
2011-11-16,33.19692
2011-11-17,33.199968
2011-11-18,33.193872
2011-11-19,33.187776
2011-11-20,33.18168
2011-11-21,33.172536
2011-11-22,33.169488
2011-11-23,33.199968
2011-11-24,33.199968
2011-11-25,33.199968
2011-11-26,33.199968
2011-11-27,33.203016
2011-11-28,33.209112
2011-11-29,33.221304
2011-11-30,33.282264
2011-12-01,33.306648
2011-12-02,33.315792
2011-12-03,33.31884
2011-12-04,33.321888
2011-12-05,33.321888
2011-12-06,33.324936
2011-12-07,33.33408
2011-12-08,33.398088
2011-12-09,33.419424
2011-12-10,33.42552
2011-12-11,33.42552
2011-12-12,33.422472
2011-12-13,33.419424
2011-12-14,33.419424
2011-12-15,33.419424
2011-12-16,33.422472
2011-12-17,33.422472
2011-12-18,33.416376
2011-12-19,33.41028
2011-12-20,33.404184
2011-12-21,33.401136
2011-12-22,33.407232
2011-12-23,33.422472
2011-12-24,33.422472
2011-12-25,33.419424
2011-12-26,33.413328
2011-12-27,33.41028
2011-12-28,33.437712
2011-12-29,33.449904
2011-12-30,33.449904
2011-12-31,33.449904
2012-01-01,33.449904
2012-01-02,33.456
2012-01-03,33.449904
2012-01-04,33.44076
2012-01-05,33.434664
2012-01-06,33.428568
2012-01-07,33.422472
2012-01-08,33.413328
2012-01-09,33.404184
2012-01-10,33.391992
2012-01-11,33.376752
2012-01-12,33.370656
2012-01-13,33.361512
2012-01-14,33.346272
2012-01-15,33.331032
2012-01-16,33.312744
2012-01-17,33.297504
2012-01-18,33.297504
2012-01-19,33.28836
2012-01-20,33.282264
2012-01-21,33.276168
2012-01-22,33.267024
2012-01-23,33.25788
2012-01-24,33.260928
2012-01-25,33.254832
2012-01-26,33.248736
2012-01-27,33.27312
2012-01-28,33.28836
2012-01-29,33.285312
2012-01-30,33.282264
2012-01-31,33.279216
2012-02-01,33.27312
2012-02-02,33.267024
2012-02-03,33.263976
2012-02-04,33.25788
2012-02-05,33.251784
2012-02-06,33.245688
2012-02-07,33.239592
2012-02-08,33.233496
2012-02-09,33.2274
2012-02-10,33.224352
2012-02-11,33.221304
2012-02-12,33.215208
2012-02-13,33.209112
2012-02-14,33.206064
2012-02-15,33.199968
2012-02-16,33.19692
2012-02-17,33.193872
2012-02-18,33.187776
2012-02-19,33.184728
2012-02-20,33.175584
2012-02-21,33.172536
2012-02-22,33.172536
2012-02-23,33.16644
2012-02-24,33.169488
2012-02-25,33.178632
2012-02-26,33.172536
2012-02-27,33.16644
2012-02-28,33.160344
2012-02-29,33.157296
2012-03-01,33.169488
2012-03-02,33.172536
2012-03-03,33.178632
2012-03-04,33.18168
2012-03-05,33.175584
2012-03-06,33.172536
2012-03-07,33.16644
2012-03-08,33.169488
2012-03-09,33.187776
2012-03-10,33.19692
2012-03-11,33.199968
2012-03-12,33.199968
2012-03-13,33.209112
2012-03-14,33.224352
2012-03-15,33.236544
2012-03-16,33.245688
2012-03-17,33.251784
2012-03-18,33.260928
2012-03-19,33.270072
2012-03-20,33.282264
2012-03-21,33.28836
2012-03-22,33.297504
2012-03-23,33.300552
2012-03-24,33.306648
2012-03-25,33.315792
2012-03-26,33.31884
2012-03-27,33.327984
2012-03-28,33.340176
2012-03-29,33.343224
2012-03-30,33.343224
2012-03-31,33.340176
2012-04-01,33.340176
2012-04-02,33.343224
2012-04-03,33.343224
2012-04-04,33.346272
2012-04-05,33.346272
2012-04-06,33.352368
2012-04-07,33.34932
2012-04-08,33.355416
2012-04-09,33.355416
2012-04-10,33.352368
2012-04-11,33.34932
2012-04-12,33.352368
2012-04-13,33.355416
2012-04-14,33.355416
2012-04-15,33.358464
2012-04-16,33.361512
2012-04-17,33.36456
2012-04-18,33.36456
2012-04-19,33.367608
2012-04-20,33.367608
2012-04-21,33.370656
2012-04-22,33.376752
2012-04-23,33.42552
2012-04-24,33.449904
2012-04-25,33.459048
2012-04-26,33.468192
2012-04-27,33.480384
2012-04-28,33.483432
2012-04-29,33.480384
2012-04-30,33.48648
2012-05-01,33.504768
2012-05-02,33.523056
2012-05-03,33.538296
2012-05-04,33.556584
2012-05-05,33.571824
2012-05-06,33.584016
2012-05-07,33.59316
2012-05-08,33.62364
2012-05-09,33.678504
2012-05-10,33.724224
2012-05-11,33.757752
2012-05-12,33.77604
2012-05-13,33.785184
2012-05-14,33.797376
2012-05-15,33.818712
2012-05-16,33.827856
2012-05-17,33.849192
2012-05-18,33.858336
2012-05-19,33.855288
2012-05-20,33.846144
2012-05-21,33.833952
2012-05-22,33.824808
2012-05-23,33.809568
2012-05-24,33.794328
2012-05-25,33.782136
2012-05-26,33.763848
2012-05-27,33.748608
2012-05-28,33.733368
2012-05-29,33.721176
2012-05-30,33.736416
2012-05-31,33.733368
2012-06-01,33.727272
2012-06-02,33.742512
2012-06-03,33.782136
2012-06-04,33.79128
2012-06-05,33.797376
2012-06-06,33.800424
2012-06-07,33.800424
2012-06-08,33.79128
2012-06-09,33.779088
2012-06-10,33.766896
2012-06-11,33.751656
2012-06-12,33.736416
2012-06-13,33.74556
2012-06-14,33.74556
2012-06-15,33.742512
2012-06-16,33.736416
2012-06-17,33.73032
2012-06-18,33.718128
2012-06-19,33.705936
2012-06-20,33.696792
2012-06-21,33.687648
2012-06-22,33.681552
2012-06-23,33.672408
2012-06-24,33.663264
2012-06-25,33.65412
2012-06-26,33.644976
2012-06-27,33.632784
2012-06-28,33.626688
2012-06-29,33.620592
2012-06-30,33.614496
2012-07-01,33.6084
2012-07-02,33.602304
2012-07-03,33.602304
2012-07-04,33.605352
2012-07-05,33.599256
2012-07-06,33.59316
2012-07-07,33.587064
2012-07-08,33.580968
2012-07-09,33.568776
2012-07-10,33.559632
2012-07-11,33.553536
2012-07-12,33.550488
2012-07-13,33.54744
2012-07-14,33.544392
2012-07-15,33.541344
2012-07-16,33.538296
2012-07-17,33.538296
2012-07-18,33.538296
2012-07-19,33.5322
2012-07-20,33.526104
2012-07-21,33.520008
2012-07-22,33.513912
2012-07-23,33.510864
2012-07-24,33.51696
2012-07-25,33.507816
2012-07-26,33.50172
2012-07-27,33.510864
2012-07-28,33.510864
2012-07-29,33.513912
2012-07-30,33.510864
2012-07-31,33.507816
2012-08-01,33.504768
2012-08-02,33.50172
2012-08-03,33.495624
2012-08-04,33.495624
2012-08-05,33.495624
2012-08-06,33.504768
2012-08-07,33.50172
2012-08-08,33.495624
2012-08-09,33.492576
2012-08-10,33.495624
2012-08-11,33.50172
2012-08-12,33.504768
2012-08-13,33.50172
2012-08-14,33.495624
2012-08-15,33.492576
2012-08-16,33.489528
2012-08-17,33.483432
2012-08-18,33.480384
2012-08-19,33.47124
2012-08-20,33.468192
2012-08-21,33.462096
2012-08-22,33.452952
2012-08-23,33.449904
2012-08-24,33.443808
2012-08-25,33.443808
2012-08-26,33.437712
2012-08-27,33.431616
2012-08-28,33.431616
2012-08-29,33.422472
2012-08-30,33.413328
2012-08-31,33.407232
2012-09-01,33.401136
2012-09-02,33.398088
2012-09-03,33.391992
2012-09-04,33.39504
2012-09-05,33.39504
2012-09-06,33.391992
2012-09-07,33.388944
2012-09-08,33.391992
2012-09-09,33.407232
2012-09-10,33.398088
2012-09-11,33.388944
2012-09-12,33.382848
2012-09-13,33.3798
2012-09-14,33.376752
2012-09-15,33.370656
2012-09-16,33.361512
2012-09-17,33.355416
2012-09-18,33.36456
2012-09-19,33.39504
2012-09-20,33.391992
2012-09-21,33.388944
2012-09-22,33.382848
2012-09-23,33.388944
2012-09-24,33.382848
2012-09-25,33.376752
2012-09-26,33.373704
2012-09-27,33.370656
2012-09-28,33.376752
2012-09-29,33.391992
2012-09-30,33.39504
2012-10-01,33.398088
2012-10-02,33.39504
2012-10-03,33.398088
2012-10-04,33.401136
2012-10-05,33.401136
2012-10-06,33.401136
2012-10-07,33.398088
2012-10-08,33.401136
2012-10-09,33.398088
2012-10-10,33.398088
2012-10-11,33.39504
2012-10-12,33.388944
2012-10-13,33.382848
2012-10-14,33.388944
2012-10-15,33.391992
2012-10-16,33.391992
2012-10-17,33.388944
2012-10-18,33.388944
2012-10-19,33.398088
2012-10-20,33.419424
2012-10-21,33.422472
2012-10-22,33.419424
2012-10-23,33.416376
2012-10-24,33.416376
2012-10-25,33.416376
2012-10-26,33.419424
2012-10-27,33.42552
2012-10-28,33.434664
2012-10-29,33.446856
2012-10-30,33.5322
2012-10-31,33.571824
2012-11-01,33.553536
2012-11-02,33.550488
2012-11-05,33.507816
2012-11-06,33.492576
2012-11-15,33.31884
2012-11-16,33.306648
2012-11-17,33.297504
2012-11-18,33.285312
2012-11-19,33.270072
2012-11-20,33.254832
2012-11-21,33.24264
2012-11-22,33.230448
2012-11-23,33.221304
2012-11-24,33.215208
2012-11-25,33.199968
2012-11-26,33.190824
2012-11-27,33.18168
2012-11-28,33.172536
2012-11-29,33.163392
2012-11-30,33.1512
2012-12-01,33.142056
2012-12-02,33.132912
2012-12-03,33.129864
2012-12-04,33.123768
2012-12-05,33.123768
2012-12-06,33.12072
2012-12-07,33.12072
2012-12-08,33.123768
2012-12-09,33.123768
2012-12-10,33.132912
2012-12-11,33.142056
2012-12-12,33.145104
2012-12-13,33.145104
2012-12-14,33.142056
2012-12-15,33.142056
2012-12-16,33.139008
2012-12-17,33.145104
2012-12-18,33.169488
2012-12-19,33.18168
2012-12-20,33.193872
2012-12-21,33.224352
2012-12-22,33.279216
2012-12-23,33.297504
2012-12-24,33.306648
2012-12-25,33.309696
2012-12-26,33.309696
2012-12-27,33.31884
2012-12-28,33.324936
2012-12-29,33.327984
2012-12-30,33.331032
2012-12-31,33.331032
