time,FLOW,SALT,TEMP
2012-11-01 00:00:00,2.71,0,4.8
2012-11-02 00:00:00,3.34,0,4.2
2012-11-03 00:00:00,3.91,0,3.8
2012-11-04 00:00:00,3.96,0,3.6
2012-11-05 00:00:00,3.94,0,2.2
2012-11-06 00:00:00,4.13,0,3.0
2012-11-07 00:00:00,3.96,0,6.7
2012-11-08 00:00:00,3.88,0,7.7
2012-11-09 00:00:00,3.85,0,6.9
2012-11-10 00:00:00,3.94,0,15.0
2012-11-11 00:00:00,4.13,0,17.7
2012-11-12 00:00:00,3.99,0,2.3
2012-11-13 00:00:00,4.90,0,1.3
2012-11-14 00:00:00,5.80,0,2.3
2012-11-15 00:00:00,5.69,0,3.7
2012-11-16 00:00:00,5.80,0,4.9
2012-11-17 00:00:00,5.66,0,5.5
2012-11-18 00:00:00,5.64,0,6.0
2012-11-19 00:00:00,5.61,0,8.1
2012-11-20 00:00:00,5.58,0,11.0
2012-11-21 00:00:00,5.61,0,9.5
2012-11-22 00:00:00,5.52,0,12.2
2012-11-23 00:00:00,5.64,0,3.5
2012-11-24 00:00:00,5.52,0,1.1
2012-11-25 00:00:00,5.49,0,1.3
2012-11-26 00:00:00,5.47,0,1.0
2012-11-27 00:00:00,5.47,0,0.8
2012-11-28 00:00:00,5.47,0,1.2
2012-11-29 00:00:00,5.44,0,1.5
2012-11-30 00:00:00,5.30,0,5.2
2012-12-01 00:00:00,5.21,0,6.6
2012-12-02 00:00:00,5.35,0,12.9
2012-12-03 00:00:00,5.47,0,12.4
2012-12-04 00:00:00,5.35,0,11.1
2012-12-05 00:00:00,5.27,0,1.3
2012-12-06 00:00:00,5.18,0,3.5
2012-12-07 00:00:00,5.10,0,5.3
2012-12-08 00:00:00,4.87,0,3.2
2012-12-09 00:00:00,5.01,0,1.5
2012-12-10 00:00:00,5.21,0,1.6
2012-12-11 00:00:00,4.13,0,1.2
2012-12-12 00:00:00,3.31,0,1.3
2012-12-13 00:00:00,3.26,0,1.4
2012-12-14 00:00:00,3.17,0,1.4
2012-12-15 00:00:00,3.34,0,2.8
2012-12-16 00:00:00,3.20,0,4.6
2012-12-17 00:00:00,3.20,0,1.1
2012-12-18 00:00:00,3.14,0,1.3
2012-12-19 00:00:00,3.14,0,1.5
2012-12-20 00:00:00,3.28,0,2.3
2012-12-21 00:00:00,3.17,0,1.0
2012-12-22 00:00:00,2.39,0,0.7
2012-12-23 00:00:00,3.14,0,0.8
2012-12-24 00:00:00,3.11,0,0.8
2012-12-25 00:00:00,3.14,0,0.7
2012-12-26 00:00:00,3.09,0,0.7
2012-12-27 00:00:00,3.06,0,0.8
2012-12-28 00:00:00,3.09,0,1.0
2012-12-29 00:00:00,3.14,0,1.0
2012-12-30 00:00:00,2.83,0,0.8
2012-12-31 00:00:00,2.97,0,0.8
2013-01-01 00:00:00,2.46,0,0.0
2013-01-02 00:00:00,2.73,0,0.4
2013-01-03 00:00:00,2.74,0,0.8
2013-01-04 00:00:00,2.70,0,0.8
2013-01-05 00:00:00,2.70,0,0.8
2013-01-06 00:00:00,2.74,0,1.0
2013-01-07 00:00:00,2.83,0,0.8
2013-01-08 00:00:00,2.80,0,1.1
2013-01-09 00:00:00,2.86,0,1.4
2013-01-10 00:00:00,2.92,0,1.2
2013-01-11 00:00:00,3.09,0,4.6
2013-01-12 00:00:00,3.11,0,3.9
2013-01-13 00:00:00,2.92,0,0.9
2013-01-14 00:00:00,2.71,0,0.6
2013-01-15 00:00:00,2.79,0,0.6
2013-01-16 00:00:00,2.80,0,0.8
2013-01-17 00:00:00,2.81,0,0.6
2013-01-18 00:00:00,2.81,0,0.9
2013-01-19 00:00:00,2.86,0,1.3
2013-01-20 00:00:00,2.75,0,0.6
2013-01-21 00:00:00,2.48,0,0.0
2013-01-22 00:00:00,2.41,0,0.0
2013-01-23 00:00:00,2.62,0,0.0
2013-01-24 00:00:00,2.62,0,0.2
2013-01-25 00:00:00,2.74,0,0.7
2013-01-26 00:00:00,2.60,0,0.5
2013-01-27 00:00:00,2.71,0,1.0
2013-01-28 00:00:00,2.82,0,2.1
2013-01-29 00:00:00,3.85,0,4.1
2013-01-30 00:00:00,3.23,0,1.3
2013-01-31 00:00:00,2.82,0,0.5
2013-02-01 00:00:00,2.79,0,0.0
2013-02-02 00:00:00,2.92,0,0.4
2013-02-03 00:00:00,3.06,0,0.4
2013-02-04 00:00:00,3.09,0,0.6
2013-02-05 00:00:00,3.09,0,0.6
2013-02-06 00:00:00,2.97,0,0.8
2013-02-07 00:00:00,3.09,0,1.3
2013-02-08 00:00:00,2.82,0,1.1
2013-02-09 00:00:00,2.80,0,0.9
2013-02-10 00:00:00,3.31,0,1.2
2013-02-11 00:00:00,3.20,0,1.8
2013-02-12 00:00:00,2.94,0,1.2
2013-02-13 00:00:00,3.06,0,1.2
2013-02-14 00:00:00,3.06,0,1.8
2013-02-15 00:00:00,2.97,0,1.0
2013-02-16 00:00:00,3.03,0,0.5
2013-02-17 00:00:00,3.06,0,0.4
2013-02-18 00:00:00,3.14,0,1.1
2013-02-19 00:00:00,3.23,0,0.7
2013-02-20 00:00:00,3.00,0,0.1
2013-02-21 00:00:00,3.03,0,0.3
2013-02-22 00:00:00,3.14,0,1.0
2013-02-23 00:00:00,3.03,0,1.0
