"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1963","1187.0","0.0","19.7","26.1","13.2"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1964","1715.4","0.0","20.3","26.4","14.2"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1965","1594.8","0.0","20.6","26.8","14.4"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1966","1245.1","0.0","19.8","25.7","13.8"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1967","1305.2","0.0","20.5","27.0","14.0"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1968","1356.9","0.0","19.7","26.2","13.2"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1969","1554.0","0.0","20.1","25.9","14.2"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1984","1034.8","0.0","20.4","26.4","14.3"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1985","1374.7","0.0","20.8","26.6","15.0"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1986","1224.0","0.0","21.0","26.7","15.3"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1987","1118.9","0.0","20.1","26.1","14.1"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1988","1417.1","0.0","19.8","25.9","13.7"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1989","1028.1","0.0","20.5","26.8","14.2"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1990","1075.5","0.0","21.4","27.8","15.1"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1991","1295.1","0.0","21.0","26.6","15.4"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1992","1379.4","0.0","19.9","25.5","14.4"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1993","1109.3","0.0","20.0","26.0","14.0"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1994","1242.4","0.0","20.8","26.5","15.2"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1995","1301.4","0.0","20.5","26.6","14.5"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1996","1388.7","0.0","20.1","26.5","13.8"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1997","1479.3","0.0","20.9","26.9","14.9"
"USW00012816","GAINESVILLE REGIONAL AIRPORT, FL US","29.6919","-82.2755","37.5","1998","1159.4","0.0","21.7","27.9","15.6"
