"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1917","892.2","3422.0","1.8","6.8","-3.2"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1918","655.2","1951.0","4.2","9.4","-1.0"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1920","809.8","3146.0","4.3","9.5","-0.8"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1921","870.2","2003.0","5.9","10.9","0.9"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1923","971.5","2637.0","5.5","11.3","-0.4"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1924","1012.1","2325.0",,,
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1925","507.8","1607.0","5.3","11.1","-0.4"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1926","1162.6","3082.0","4.0","9.6","-1.6"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1928","938.7",,"4.9","10.3","-0.5"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1929","817.5",,"4.1","9.7","-1.5"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1930","793.0",,"6.0","11.7","0.3"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1931","916.1","1745.0","7.9","13.6","2.3"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1932","837.3","3469.0","5.1","10.8","-0.7"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1933","851.1","4159.0","5.1","11.1","-0.9"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1935","1049.5","3886.0","4.6","10.0","-0.8"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1936","756.5","3809.0","3.9","9.6","-1.9"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1937","996.1","4306.0","4.4","10.1","-1.2"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1938","896.6","2912.0","5.9","11.3","0.6"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1939","899.4",,"6.5","13.1","-0.1"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1940","924.1",,"4.8","10.6","-1.1"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1941","1095.1","2962.0","6.5","12.3","0.7"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1942","1308.7",,"5.4","11.4","-0.6"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1944","1066.5",,"6.1","11.6","0.6"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1945","1029.6",,"4.6","10.3","-1.1"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1946","918.4","1983.0","5.9","11.9","-0.1"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1948","622.0","2701.0","5.6","12.1","-0.9"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1949","893.4","2828.0","6.2","12.1","0.3"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1950","792.4","4283.0","3.5","9.3","-2.4"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1951","1034.3","3637.0","4.3","9.5","-0.8"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1952","808.0","2656.0","6.5","12.2","0.8"
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","1953","1008.7","3040.0",,,"0.9"
