year,meanTemp
1988,-5.7
1989,-8.3
1990,-6.4
1991,-4
1992,-12.2
1993,-2
1994,-9.8
1995,-7.8
1996,-9.2
1997,-8.5
1998,-7
1999,-10.6
2e3,-9
2001,-7.9
2002,-6.8
2003,-7.9
2004,-8
2005,-8.6
2006,-8.5
2007,-7.5
2008,-9.6
2009,-7.7
2010,-8.3
2011,-8
2012,-9.7
2013,-8.8
2014,-7.1
2015,-7.1
2016,-6.6
2017,-6.7
