STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN,PRCP,SNOW
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1940,7.4,12.9,2,747.9,1260
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1941,9.1,13.7,4.4,836.1,687
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1942,8,12.6,3.3,815.8,750
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1943,7.4,12.5,2.3,529,1089
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1944,8.4,13.2,3.7,645.6,832
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1945,7.6,12.3,3,805.3,673
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1946,8.8,14,3.6,531.4,610
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1947,7.9,12.3,3.4,825.2,1444
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1948,8.2,14.3,2,651.3,826
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1949,8.6,14.7,2.5,737.8,933
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1950,6.8,12.6,1,984.1,1241
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1951,6.6,12.2,1,813.2,1555
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1952,8.6,14.4,2.7,805.6,1134
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1953,9.3,15.2,3.4,753.6,592
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1954,8.8,14.6,3.1,891.5,908
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1955,8.5,14.6,2.4,571.9,588
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1956,8.3,14.3,2.3,801.2,900
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1957,8,13.7,2.3,835.5,724
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1958,7.6,13.9,1.3,536.3,530
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1959,7.6,13.4,1.8,1024.8,2044
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1960,7,12.7,1.3,986.3,876
