"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","1912","771.2","648.0","3.4","9.6","-2.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","1913","821.4","916.0","5.3","11.4","-0.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","1914","863.9","597.0","4.9","10.8","-1.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","1915","915.3","890.0",,,
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","1916","892.4","1242.0",,,"-2.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","1917","575.4","1806.0","2.2","8.4","-4.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","1918","779.6","1044.0",,"10.7",
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","1919","850.8","1054.0","4.7","10.0","-0.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","1920","692.4","1312.0",,,
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","1921","776.8","956.0","6.4","12.4","0.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","1922","826.1","1229.0","5.2","11.5","-1.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","1923","714.2","1844.0","4.5","11.3","-2.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","1924","757.9","1233.0","2.7","9.3","-3.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","1925","644.1","945.0","4.0","10.8","-2.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","1926","1030.9","2138.0",,,"-3.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","1927","709.8","1689.0",,,"-3.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","1928","802.6","1297.0","3.5","10.0","-3.1"
