time,FLOW,SALT,TEMP,NIT_nit,NIT_amm,PHS_frp,OGM_doc
2012-12-31 00:00:00,2.97,0,0.85,687.37,0.84,0.79,430.06
2013-01-01 00:00:00,2.46,0,0.04,688.79,0.81,0.8,430.06
2013-01-02 00:00:00,2.73,0,0.36,689.51,0.79,0.82,430.06
2013-01-03 00:00:00,2.74,0,0.84,690.94,0.77,0.83,430.06
2013-01-04 00:00:00,2.7,0,0.82,691.65,0.76,0.84,430.06
2013-01-05 00:00:00,2.7,0,0.79,693.08,0.74,0.86,430.06
2013-01-06 00:00:00,2.74,0,1.02,693.79,0.71,0.87,430.06
2013-01-07 00:00:00,2.83,0,0.77,695.22,0.7,0.88,430.06
2013-01-08 00:00:00,2.8,0,1.15,695.93,0.68,0.9,430.06
2013-01-09 00:00:00,2.86,0,1.37,697.36,0.66,0.91,430.06
2013-01-10 00:00:00,2.92,0,1.2,682.37,0.67,0.93,430.06
2013-01-11 00:00:00,3.09,0,4.58,606.71,3.15,0.94,430.06
2013-01-12 00:00:00,3.11,0,3.92,546.04,5.9,0.96,430.06
2013-01-13 00:00:00,2.92,0,0.95,556.75,4.08,0.97,430.06
2013-01-14 00:00:00,2.71,0,0.59,577.44,3.33,0.98,430.06
2013-01-15 00:00:00,2.79,0,0.62,597.43,2.83,1,430.06
2013-01-16 00:00:00,2.8,0,0.81,610.28,2.53,1,430.06
2013-01-17 00:00:00,2.81,0,0.64,620.99,2.28,1,430.06
2013-01-18 00:00:00,2.81,0,0.86,630.98,2.06,1,430.06
2013-01-19 00:00:00,2.86,0,1.33,633.12,1.87,1,430.06
2013-01-20 00:00:00,2.75,0,0.58,633.83,1.68,1,430.06
2013-01-21 00:00:00,2.48,0,0.03,634.55,1.53,1,430.06
2013-01-22 00:00:00,2.41,0,0,635.97,1.38,1,430.06
2013-01-23 00:00:00,2.62,0,0.03,636.69,1.25,1,430.06
2013-01-24 00:00:00,2.62,0,0.19,638.12,1.13,1,430.06
2013-01-25 00:00:00,2.74,0,0.68,638.83,1.02,1,430.06
2013-01-26 00:00:00,2.6,0,0.52,639.54,0.92,1,430.06
2013-01-27 00:00:00,2.71,0,1.02,640.97,0.84,1,430.06
2013-01-28 00:00:00,2.82,0,2.14,641.68,0.76,1,430.06
2013-01-29 00:00:00,3.85,0,4.09,184.87,46.61,18.05,430.06
2013-01-30 00:00:00,3.23,0,1.29,241.97,51.32,15.62,430.06
2013-01-31 00:00:00,2.82,0,0.47,443.97,20.34,5.87,430.06
2013-02-01 00:00:00,2.79,0,0,548.18,6.61,2.94,430.06
2013-02-02 00:00:00,2.92,0,0.35,580.3,5.37,2.4,430.06
2013-02-03 00:00:00,3.06,0,0.41,608.14,4.45,2.14,430.06
2013-02-04 00:00:00,3.09,0,0.61,616.7,3.97,2.05,430.06
