"dateTime","DSWRFsfc_110_SFC","DSWRFsfc_110_SFC.1","DSWRFsfc_110_SFC.2","DSWRFsfc_110_SFC.3"
2013-08-29 12:00:00,90.2239990234375,90.2539978027344,88.2880020141602,89.4550018310547
2013-08-29 13:00:00,224.67399597168,223.044006347656,220.438995361328,221.647003173828
2013-08-29 14:00:00,353.260009765625,352.269012451172,348.861999511719,353.851989746094
2013-08-29 15:00:00,403.415008544922,409.332000732422,409.386993408203,423.371002197266
2013-08-29 16:00:00,484.875,492.782012939453,496.861999511719,502.4169921875
2013-08-29 17:00:00,548.192993164062,562.823974609375,559.745971679688,578.755004882812
2013-08-29 18:00:00,515.138000488281,509.632995605469,531.348999023438,538.633972167969
2013-08-29 19:00:00,508.144989013672,497.471984863281,520.565002441406,520.299987792969
2013-08-29 20:00:00,471.388000488281,461.471984863281,486.911010742188,478.31298828125
2013-08-29 21:00:00,377.369995117188,377.320007324219,382.165985107422,392.018005371094
2013-08-29 22:00:00,280.432006835938,280.260009765625,279.946990966797,288.071990966797
2013-08-29 23:00:00,179.697998046875,178.167999267578,176.906997680664,183.078994750977
2013-08-30 00:00:00,34.6809997558594,32.7309989929199,35.6809997558594,33.5660018920898
2013-08-30 01:00:00,0,0,0,0
2013-08-30 02:00:00,0,0,0,0
2013-08-30 03:00:00,0,0,0,0
2013-08-30 04:00:00,0,0,0,0
2013-08-30 05:00:00,0,0,0,0
2013-08-30 06:00:00,0,0,0,0
2013-08-30 07:00:00,0,0,0,0
2013-08-30 08:00:00,0,0,0,0
2013-08-30 09:00:00,0,0,0,0
2013-08-30 10:00:00,0,0,0,0
2013-08-30 11:00:00,0,0,0,0
2013-08-30 12:00:00,86.2990036010742,85.818000793457,86.7689971923828,87.5820007324219
2013-08-30 13:00:00,218.873001098633,215.929992675781,220.65299987793,220.947006225586
2013-08-30 14:00:00,345.592010498047,342.459014892578,350.670989990234,354.204986572266
2013-08-30 15:00:00,475.143005371094,475.630004882812,479.441009521484,485.345001220703
2013-08-30 16:00:00,571.492980957031,573.0009765625,582.296020507812,576.367004394531
2013-08-30 17:00:00,646.260986328125,654.5830078125,656.132019042969,664.078979492188
2013-08-30 18:00:00,689.401000976562,685.953979492188,685.434020996094,692.958984375
2013-08-30 19:00:00,679.719970703125,669.265014648438,671.203002929688,669.051025390625
2013-08-30 20:00:00,629.984008789062,620.27001953125,627.247009277344,614.505004882812
2013-08-30 21:00:00,533.97802734375,522.843994140625,535.659973144531,530.620971679688
2013-08-30 22:00:00,395.640991210938,387.199005126953,391.230010986328,388.769012451172
2013-08-30 23:00:00,251.824005126953,244.486999511719,245.574005126953,245.406005859375
2013-08-31 00:00:00,44.6539993286133,43.0610008239746,43.4379997253418,42.6269989013672
2013-08-31 01:00:00,0,0,0,0
2013-08-31 02:00:00,0,0,0,0
2013-08-31 03:00:00,0,0,0,0
2013-08-31 04:00:00,0,0,0,0
2013-08-31 05:00:00,0,0,0,0
2013-08-31 06:00:00,0,0,0,0
2013-08-31 07:00:00,0,0,0,0
2013-08-31 08:00:00,0,0,0,0
2013-08-31 09:00:00,0,0,0,0
2013-08-31 10:00:00,0,0,0,0
2013-08-31 11:00:00,0,0,0,0
2013-08-31 12:00:00,86.6719970703125,86.7639999389648,85.2919998168945,86.2490005493164
2013-08-31 13:00:00,224.065002441406,222.449005126953,221.087005615234,221.710006713867
2013-08-31 14:00:00,355.313995361328,354.304992675781,352.869995117188,356.941986083984
2013-08-31 15:00:00,474.378997802734,475.631011962891,475.239013671875,481.019989013672
2013-08-31 16:00:00,570.982971191406,573.409973144531,577.60400390625,571.633972167969
2013-08-31 17:00:00,645.820007324219,655.185974121094,650.981018066406,658.762023925781
2013-08-31 18:00:00,680.827026367188,677.658996582031,677.25,685.182006835938
2013-08-31 19:00:00,670.93798828125,660.846008300781,662.866027832031,661.216979980469
2013-08-31 20:00:00,621.27099609375,611.901000976562,618.885009765625,606.7490234375
2013-08-31 21:00:00,522.247985839844,511.236999511719,524.215026855469,519.153991699219
2013-08-31 22:00:00,385.776000976562,377.446990966797,381.710998535156,379.2080078125
2013-08-31 23:00:00,243.835006713867,236.656005859375,237.932006835938,237.692001342773
2013-09-01 00:00:00,40.0139999389648,39.25,40.2389984130859,38.9640007019043
2013-09-01 01:00:00,0,0,0,0
2013-09-01 02:00:00,0,0,0,0
2013-09-01 03:00:00,0,0,0,0
2013-09-01 04:00:00,0,0,0,0
2013-09-01 05:00:00,0,0,0,0
2013-09-01 06:00:00,0,0,0,0
2013-09-01 07:00:00,0,0,0,0
2013-09-01 08:00:00,0,0,0,0
2013-09-01 09:00:00,0,0,0,0
2013-09-01 10:00:00,0,0,0,0
2013-09-01 11:00:00,0,0,0,0
2013-09-01 12:00:00,76.1940002441406,75.8529968261719,76.9970016479492,76.3470001220703
2013-09-01 13:00:00,200.957000732422,198.332000732422,203.623001098633,200.149993896484
2013-09-01 14:00:00,317.165008544922,312.342010498047,321.566009521484,315.391998291016
2013-09-01 15:00:00,456.329986572266,448.054992675781,461.929992675781,450.212005615234
2013-09-01 16:00:00,540.335021972656,523.755981445312,542.721008300781,530.969970703125
2013-09-01 17:00:00,603.357971191406,585.994995117188,611.107971191406,596.492980957031
2013-09-01 18:00:00,665.656005859375,665.564025878906,666.648010253906,673.31298828125
2013-09-01 19:00:00,644.3330078125,639.448974609375,643.690979003906,642.72900390625
2013-09-01 20:00:00,604.471008300781,594.706970214844,594.77001953125,593.476013183594
2013-09-01 21:00:00,477.302001953125,465.144989013672,476.210998535156,473.842987060547
2013-09-01 22:00:00,352.648010253906,346.811004638672,354.436004638672,351.290008544922
2013-09-01 23:00:00,222.716003417969,218.544998168945,223.710006713867,221.231002807617
2013-09-02 00:00:00,37.351001739502,36.560001373291,37.6300010681152,36.3219985961914
2013-09-02 01:00:00,0,0,0,0
2013-09-02 02:00:00,0,0,0,0
2013-09-02 03:00:00,0,0,0,0
2013-09-02 04:00:00,0,0,0,0
2013-09-02 05:00:00,0,0,0,0
2013-09-02 06:00:00,0,0,0,0
2013-09-02 07:00:00,0,0,0,0
2013-09-02 08:00:00,0,0,0,0
2013-09-02 09:00:00,0,0,0,0
2013-09-02 10:00:00,0,0,0,0
2013-09-02 11:00:00,0,0,0,0
2013-09-02 12:00:00,87.7799987792969,88.6279983520508,86.879997253418,87.7529983520508
2013-09-02 13:00:00,236.421005249023,236.548004150391,234.628005981445,234.832000732422
2013-09-02 14:00:00,374.81201171875,374.183013916016,372.18798828125,371.684997558594
2013-09-02 15:00:00,494.829010009766,497.119995117188,492.721984863281,493.838012695312
2013-09-02 16:00:00,586.348999023438,581.530029296875,579.317016601562,582.841003417969
2013-09-02 17:00:00,654.8740234375,650.768005371094,652.448974609375,654.89599609375
2013-09-02 18:00:00,683.008972167969,683.192016601562,684.965026855469,692.633972167969
2013-09-02 19:00:00,660.789001464844,656.044982910156,661.036987304688,660.830017089844
2013-09-02 20:00:00,619.309997558594,609.549987792969,610.208984375,609.598999023438
2013-09-02 21:00:00,537.906982421875,527.291015625,532.754028320312,532.211975097656
2013-09-02 22:00:00,396.148010253906,391.877014160156,395.247985839844,393.290008544922
2013-09-02 23:00:00,248.307998657227,245.070999145508,247.595001220703,245.804992675781
2013-09-03 00:00:00,37.3610000610352,37.2929992675781,37.2000007629395,36.7220001220703
2013-09-03 01:00:00,0,0,0,0
2013-09-03 02:00:00,0,0,0,0
2013-09-03 03:00:00,0,0,0,0
2013-09-03 04:00:00,0,0,0,0
2013-09-03 05:00:00,0,0,0,0
2013-09-03 06:00:00,0,0,0,0
2013-09-03 07:00:00,0,0,0,0
2013-09-03 08:00:00,0,0,0,0
2013-09-03 09:00:00,0,0,0,0
2013-09-03 10:00:00,0,0,0,0
2013-09-03 11:00:00,0,0,0,0
2013-09-03 12:00:00,85.5910034179688,86.677001953125,84.620002746582,85.7610015869141
2013-09-03 13:00:00,235.649002075195,236.380996704102,233.604995727539,234.5
2013-09-03 14:00:00,375.300994873047,375.618988037109,372.259002685547,372.839996337891
2013-09-03 15:00:00,488.816009521484,491.106994628906,486.610992431641,488.019012451172
2013-09-03 16:00:00,579.648010253906,574.914978027344,572.549987792969,576.390014648438
2013-09-03 17:00:00,647.523010253906,643.494018554688,644.958984375,647.776977539062
2013-09-03 18:00:00,657.125,658.450988769531,658.142028808594,667.254028320312
2013-09-03 19:00:00,635.411987304688,631.952026367188,634.815979003906,636.278015136719
2013-09-03 20:00:00,594.93701171875,586.580993652344,585.426025390625,586.367980957031
2013-09-03 21:00:00,525.338989257812,515.833984375,519.223022460938,519.927001953125
2013-09-03 22:00:00,385.614013671875,382.088012695312,383.938995361328,382.936004638672
2013-09-03 23:00:00,239.817001342773,237.065002441406,238.632995605469,237.449005126953
2013-09-04 00:00:00,34.3819999694824,33.689998626709,34.898998260498,33.6800003051758
2013-09-04 01:00:00,0,0,0,0
2013-09-04 02:00:00,0,0,0,0
2013-09-04 03:00:00,0,0,0,0
2013-09-04 04:00:00,0,0,0,0
2013-09-04 05:00:00,0,0,0,0
2013-09-04 06:00:00,0,0,0,0
2013-09-04 07:00:00,0,0,0,0
2013-09-04 08:00:00,0,0,0,0
