"dateTime","DSWRFsfc_110_SFC","DSWRFsfc_110_SFC.1","DSWRFsfc_110_SFC.2","DSWRFsfc_110_SFC.3"
2012-11-27 00:00:00,0,0,0,0
2012-11-27 01:00:00,0,0,0,0
2012-11-27 02:00:00,0,0,0,0
2012-11-27 03:00:00,0,0,0,0
2012-11-27 04:00:00,0,0,0,0
2012-11-27 05:00:00,0,0,0,0
2012-11-27 06:00:00,0,0,0,0
2012-11-27 07:00:00,0,0,0,0
2012-11-27 08:00:00,0,0,0,0
2012-11-27 09:00:00,0,0,0,0
2012-11-27 10:00:00,0,0,0,0
2012-11-27 11:00:00,0,0,0,0
2012-11-27 12:00:00,0,0,0,0
2012-11-27 13:00:00,25.3400001525879,25.5979995727539,26.0739994049072,26.757999420166
2012-11-27 14:00:00,56.2540016174316,56.4370002746582,57.6430015563965,58.7540016174316
2012-11-27 15:00:00,145.524002075195,140.218002319336,140.901992797852,140.283996582031
2012-11-27 16:00:00,178.865997314453,173.841003417969,173.055999755859,172.485992431641
2012-11-27 17:00:00,190.516998291016,184.658004760742,182.964996337891,180.641006469727
2012-11-27 18:00:00,199.610000610352,187.10400390625,197.882995605469,186.531997680664
2012-11-27 19:00:00,170.212997436523,158.697998046875,170.294998168945,161.455001831055
2012-11-27 20:00:00,129.710998535156,121.292999267578,129.565002441406,120.347999572754
2012-11-27 21:00:00,94.0540008544922,93.6859970092773,97.9919967651367,96.25
2012-11-27 22:00:00,0,0,0,0
2012-11-27 23:00:00,0,0,0,0
2012-11-28 00:00:00,0,0,0,0
2012-11-28 01:00:00,0,0,0,0
2012-11-28 02:00:00,0,0,0,0
2012-11-28 03:00:00,0,0,0,0
2012-11-28 04:00:00,0,0,0,0
2012-11-28 05:00:00,0,0,0,0
2012-11-28 06:00:00,0,0,0,0
2012-11-28 07:00:00,0,0,0,0
2012-11-28 08:00:00,0,0,0,0
2012-11-28 09:00:00,0,0,0,0
2012-11-28 10:00:00,0,0,0,0
2012-11-28 11:00:00,0,0,0,0
2012-11-28 12:00:00,0,0,0,0
2012-11-28 13:00:00,111.610000610352,112.136001586914,113.610000610352,116.420997619629
2012-11-28 14:00:00,251.13200378418,250.531997680664,254.518005371094,258.989990234375
2012-11-28 15:00:00,385.451995849609,387.789001464844,392.829010009766,403.087005615234
2012-11-28 16:00:00,474.511993408203,481.529998779297,483.226989746094,496.385986328125
2012-11-28 17:00:00,505.841003417969,511.919006347656,511.322998046875,520.283996582031
2012-11-28 18:00:00,480.903991699219,486.160003662109,493.553009033203,503.345001220703
2012-11-28 19:00:00,410.108001708984,412.380004882812,424.774993896484,435.707000732422
2012-11-28 20:00:00,312.373992919922,315.028991699219,323.028015136719,324.621002197266
2012-11-28 21:00:00,111.806999206543,112.745002746582,116.588996887207,116.236999511719
2012-11-28 22:00:00,0,0,0,0
2012-11-28 23:00:00,0,0,0,0
2012-11-29 00:00:00,0,0,0,0
2012-11-29 01:00:00,0,0,0,0
2012-11-29 02:00:00,0,0,0,0
2012-11-29 03:00:00,0,0,0,0
2012-11-29 04:00:00,0,0,0,0
2012-11-29 05:00:00,0,0,0,0
2012-11-29 06:00:00,0,0,0,0
2012-11-29 07:00:00,0,0,0,0
2012-11-29 08:00:00,0,0,0,0
2012-11-29 09:00:00,0,0,0,0
2012-11-29 10:00:00,0,0,0,0
2012-11-29 11:00:00,0,0,0,0
2012-11-29 12:00:00,0,0,0,0
2012-11-29 13:00:00,110.171997070312,110.787002563477,112.18399810791,115.06600189209
2012-11-29 14:00:00,251.328002929688,250.884994506836,254.753005981445,259.410003662109
2012-11-29 15:00:00,384.651000976562,387.197998046875,392.024993896484,402.531005859375
2012-11-29 16:00:00,474.277008056641,481.554992675781,482.997985839844,496.477996826172
2012-11-29 17:00:00,506.019989013672,512.377990722656,511.511993408203,520.817993164062
2012-11-29 18:00:00,478.989013671875,484.572998046875,491.832000732422,501.911987304688
2012-11-29 19:00:00,408.52099609375,411.079010009766,423.342987060547,434.515991210938
2012-11-29 20:00:00,311.044006347656,313.911010742188,321.816986083984,323.609008789062
2012-11-29 21:00:00,109.611000061035,110.613998413086,114.470001220703,114.09700012207
2012-11-29 22:00:00,0,0,0,0
2012-11-29 23:00:00,0,0,0,0
2012-11-30 00:00:00,0,0,0,0
2012-11-30 01:00:00,0,0,0,0
2012-11-30 02:00:00,0,0,0,0
2012-11-30 03:00:00,0,0,0,0
2012-11-30 04:00:00,0,0,0,0
2012-11-30 05:00:00,0,0,0,0
2012-11-30 06:00:00,0,0,0,0
2012-11-30 07:00:00,0,0,0,0
2012-11-30 08:00:00,0,0,0,0
2012-11-30 09:00:00,0,0,0,0
2012-11-30 10:00:00,0,0,0,0
2012-11-30 11:00:00,0,0,0,0
2012-11-30 12:00:00,0,0,0,0
2012-11-30 13:00:00,106.97200012207,107.61499786377,109.017997741699,111.835998535156
2012-11-30 14:00:00,247.468002319336,247.080993652344,251.003997802734,255.572998046875
2012-11-30 15:00:00,366.325988769531,369.674011230469,374.244995117188,385.015991210938
2012-11-30 16:00:00,452.403015136719,460.489013671875,461.822998046875,475.622985839844
2012-11-30 17:00:00,483.097991943359,490.385986328125,489.506988525391,499.368011474609
2012-11-30 18:00:00,458.128997802734,464.052001953125,471.613006591797,481.43798828125
2012-11-30 19:00:00,390.790985107422,393.730010986328,406.003997802734,416.855987548828
2012-11-30 20:00:00,297.454010009766,300.570007324219,308.545989990234,310.364013671875
2012-11-30 21:00:00,105.290000915527,107.543998718262,111.74299621582,112.166999816895
2012-11-30 22:00:00,0,0,0,0
2012-11-30 23:00:00,0,0,0,0
2012-12-01 00:00:00,0,0,0,0
2012-12-01 01:00:00,0,0,0,0
2012-12-01 02:00:00,0,0,0,0
2012-12-01 03:00:00,0,0,0,0
2012-12-01 04:00:00,0,0,0,0
2012-12-01 05:00:00,0,0,0,0
2012-12-01 06:00:00,0,0,0,0
2012-12-01 07:00:00,0,0,0,0
2012-12-01 08:00:00,0,0,0,0
2012-12-01 09:00:00,0,0,0,0
2012-12-01 10:00:00,0,0,0,0
2012-12-01 11:00:00,0,0,0,0
2012-12-01 12:00:00,0,0,0,0
2012-12-01 13:00:00,101.198997497559,102.08699798584,104.698997497559,106.603996276855
2012-12-01 14:00:00,237.477996826172,237.697006225586,244.473999023438,247.00700378418
2012-12-01 15:00:00,377.808013916016,377.585998535156,388.584991455078,392.049987792969
2012-12-01 16:00:00,465.528015136719,464.519012451172,476.613006591797,481.516998291016
2012-12-01 17:00:00,496.205993652344,492.278991699219,504.347991943359,506.783996582031
2012-12-01 18:00:00,471.506011962891,471.665985107422,484.217987060547,481.516998291016
2012-12-01 19:00:00,395.761993408203,398.303009033203,405.776000976562,407.570007324219
2012-12-01 20:00:00,291.721008300781,293.088012695312,297.703002929688,299.671997070312
2012-12-01 21:00:00,99.3990020751953,99.9260025024414,102.52799987793,102.304000854492
2012-12-01 22:00:00,0,0,0,0
2012-12-01 23:00:00,0,0,0,0
2012-12-02 00:00:00,0,0,0,0
2012-12-02 01:00:00,0,0,0,0
2012-12-02 02:00:00,0,0,0,0
2012-12-02 03:00:00,0,0,0,0
2012-12-02 04:00:00,0,0,0,0
2012-12-02 05:00:00,0,0,0,0
2012-12-02 06:00:00,0,0,0,0
2012-12-02 07:00:00,0,0,0,0
2012-12-02 08:00:00,0,0,0,0
2012-12-02 09:00:00,0,0,0,0
2012-12-02 10:00:00,0,0,0,0
