"dateTime","DLWRFsfc_110_SFC","DLWRFsfc_110_SFC.1","DLWRFsfc_110_SFC.2","DLWRFsfc_110_SFC.3"
2012-11-27 00:00:00,239.279998779297,241.440002441406,234.580001831055,235.149993896484
2012-11-27 01:00:00,239.279998779297,241.440002441406,234.580001831055,235.149993896484
2012-11-27 02:00:00,239.279998779297,241.440002441406,234.580001831055,235.149993896484
2012-11-27 03:00:00,235.419998168945,239.5,231.300003051758,234.020004272461
2012-11-27 04:00:00,235.419998168945,239.509994506836,231.300003051758,234.020004272461
2012-11-27 05:00:00,299.989990234375,304.190002441406,300.040008544922,302.079986572266
2012-11-27 06:00:00,339.519989013672,350.299987792969,340.410003662109,345.299987792969
2012-11-27 07:00:00,339.519989013672,350.299987792969,340.420013427734,345.309997558594
2012-11-27 08:00:00,339.519989013672,350.299987792969,340.420013427734,345.309997558594
2012-11-27 09:00:00,327.510009765625,331.720001220703,323.769989013672,326.459991455078
2012-11-27 10:00:00,327.510009765625,331.720001220703,323.769989013672,326.450012207031
2012-11-27 11:00:00,327.510009765625,331.720001220703,323.769989013672,326.450012207031
2012-11-27 12:00:00,326.640014648438,324.190002441406,318.380004882812,318.799987792969
2012-11-27 13:00:00,326.640014648438,324.190002441406,318.380004882812,318.809997558594
2012-11-27 14:00:00,326.649993896484,324.200012207031,318.390014648438,318.820007324219
2012-11-27 15:00:00,363.929992675781,367.019989013672,364.049987792969,365.600006103516
2012-11-27 16:00:00,363.929992675781,367.029998779297,364.049987792969,365.609985351562
2012-11-27 17:00:00,363.940002441406,367.029998779297,364.059997558594,365.609985351562
2012-11-27 18:00:00,371.170013427734,373.420013427734,370.890014648438,372.130004882812
2012-11-27 19:00:00,371.170013427734,373.420013427734,370.890014648438,372.130004882812
2012-11-27 20:00:00,371.160003662109,373.420013427734,370.890014648438,372.130004882812
2012-11-27 21:00:00,352.350006103516,355.190002441406,351.390014648438,353
2012-11-27 22:00:00,352.350006103516,355.190002441406,351.390014648438,353
2012-11-27 23:00:00,352.350006103516,355.179992675781,351.380004882812,353
2012-11-28 00:00:00,348.390014648438,345.980010986328,344.329986572266,344.079986572266
2012-11-28 01:00:00,348.390014648438,345.980010986328,344.320007324219,344.079986572266
2012-11-28 02:00:00,348.390014648438,345.970001220703,344.320007324219,344.079986572266
2012-11-28 03:00:00,379.790008544922,379.769989013672,379.119995117188,379.410003662109
2012-11-28 04:00:00,379.790008544922,379.769989013672,379.119995117188,379.410003662109
2012-11-28 05:00:00,379.790008544922,379.769989013672,379.119995117188,379.410003662109
2012-11-28 06:00:00,378.329986572266,379.839996337891,378.839996337891,379.619995117188
2012-11-28 07:00:00,378.329986572266,379.829986572266,378.839996337891,379.619995117188
2012-11-28 08:00:00,378.329986572266,379.829986572266,378.839996337891,379.619995117188
2012-11-28 09:00:00,361.489990234375,363.179992675781,363.119995117188,363.790008544922
2012-11-28 10:00:00,361.480010986328,363.179992675781,363.109985351562,363.790008544922
2012-11-28 11:00:00,361.480010986328,363.179992675781,363.109985351562,363.790008544922
2012-11-28 12:00:00,352.410003662109,357.170013427734,356.130004882812,357.839996337891
2012-11-28 13:00:00,352.410003662109,357.170013427734,356.140014648438,357.839996337891
2012-11-28 14:00:00,352.420013427734,357.170013427734,356.140014648438,357.839996337891
2012-11-28 15:00:00,354.549987792969,364.660003662109,363.049987792969,366.380004882812
2012-11-28 16:00:00,354.559997558594,364.670013427734,363.049987792969,366.390014648438
2012-11-28 17:00:00,354.559997558594,364.670013427734,363.059997558594,366.390014648438
2012-11-28 18:00:00,340.149993896484,339.75,345.429992675781,344.540008544922
2012-11-28 19:00:00,340.149993896484,339.75,345.429992675781,344.540008544922
2012-11-28 20:00:00,340.149993896484,339.75,345.429992675781,344.540008544922
2012-11-28 21:00:00,338.429992675781,331.459991455078,343.640014648438,339.799987792969
2012-11-28 22:00:00,338.420013427734,331.450012207031,343.640014648438,339.799987792969
2012-11-28 23:00:00,338.420013427734,331.450012207031,343.630004882812,339.790008544922
2012-11-29 00:00:00,298.929992675781,295.649993896484,299.540008544922,298.109985351562
2012-11-29 01:00:00,298.929992675781,295.649993896484,299.529998779297,298.100006103516
2012-11-29 02:00:00,298.929992675781,295.649993896484,299.529998779297,298.100006103516
2012-11-29 03:00:00,283.660003662109,285.670013427734,283.609985351562,284.670013427734
2012-11-29 04:00:00,283.649993896484,285.670013427734,283.609985351562,284.670013427734
2012-11-29 05:00:00,283.649993896484,285.670013427734,283.600006103516,284.670013427734
2012-11-29 06:00:00,286.089996337891,289.079986572266,285.799987792969,287.339996337891
2012-11-29 07:00:00,286.089996337891,289.079986572266,285.799987792969,287.339996337891
2012-11-29 08:00:00,286.089996337891,289.079986572266,285.799987792969,287.339996337891
2012-11-29 09:00:00,297.200042724609,302.530029296875,299.870025634766,301.990051269531
2012-11-29 10:00:00,297.200042724609,302.530029296875,299.870025634766,301.990051269531
2012-11-29 11:00:00,297.200042724609,302.530029296875,299.870025634766,301.990051269531
2012-11-29 12:00:00,333.410003662109,344.320007324219,345.660003662109,348.730010986328
2012-11-29 13:00:00,333.420013427734,344.320007324219,345.670013427734,348.739990234375
2012-11-29 14:00:00,333.429992675781,344.329986572266,345.679992675781,348.739990234375
2012-11-29 15:00:00,381.450012207031,389.630004882812,391.109985351562,393.390014648438
2012-11-29 16:00:00,381.459991455078,389.630004882812,391.109985351562,393.390014648438
2012-11-29 17:00:00,381.459991455078,389.640014648438,391.119995117188,393.399993896484
2012-11-29 18:00:00,397.450012207031,399.489990234375,399.190002441406,400.010009765625
